filename, language, HTML, Python, JSON, pip requirements, JavaScript, comment, blank, total
c:\ciss_web\CISS_rc\README.html, HTML, 215, 0, 0, 0, 0, 2, 62, 279
c:\ciss_web\CISS_rc\apps\active_bm\abm_engine.py, Python, 0, 454, 0, 0, 0, 121, 164, 739
c:\ciss_web\CISS_rc\apps\active_bm\active_bm.py, Python, 0, 278, 0, 0, 0, 181, 112, 571
c:\ciss_web\CISS_rc\apps\active_bm\test_abm_1port_1period.py, Python, 0, 147, 0, 0, 0, 204, 177, 528
c:\ciss_web\CISS_rc\apps\active_bm\test_abm_1port_Nperiods.py, Python, 0, 186, 0, 0, 0, 215, 214, 615
c:\ciss_web\CISS_rc\apps\active_bm\test_abm_Nports_1period.py, Python, 0, 50, 0, 0, 0, 38, 74, 162
c:\ciss_web\CISS_rc\apps\active_bm\test_abm_weights.py, Python, 0, 49, 0, 0, 0, 18, 15, 82
c:\ciss_web\CISS_rc\apps\active_bm\test_active_bm.py, Python, 0, 543, 0, 0, 0, 238, 112, 893
c:\ciss_web\CISS_rc\apps\active_bm\test_industrial_rotation.py, Python, 0, 249, 0, 0, 0, 199, 143, 591
c:\ciss_web\CISS_rc\apps\active_bm\test_stats.py, Python, 0, 110, 0, 0, 0, 843, 326, 1279
c:\ciss_web\CISS_rc\apps\active_bm\test_units.py, Python, 0, 39, 0, 0, 0, 9, 19, 67
c:\ciss_web\CISS_rc\apps\active_bm\test_ushk.py, Python, 0, 71, 0, 0, 0, 40, 60, 171
c:\ciss_web\CISS_rc\apps\black_litterman\bl_rc.py, Python, 0, 216, 0, 0, 0, 146, 88, 450
c:\ciss_web\CISS_rc\apps\black_litterman\data_edb.py, Python, 0, 194, 0, 0, 0, 110, 112, 416
c:\ciss_web\CISS_rc\apps\black_litterman\log_bl.html, HTML, 853, 0, 0, 0, 0, 2, 748, 1603
c:\ciss_web\CISS_rc\apps\black_litterman\test_bl.py, Python, 0, 252, 0, 0, 0, 452, 242, 946
c:\ciss_web\CISS_rc\apps\black_litterman\test_bl_rc.py, Python, 0, 57, 0, 0, 0, 30, 42, 129
c:\ciss_web\CISS_rc\apps\black_litterman\test_data.py, Python, 0, 78, 0, 0, 0, 41, 82, 201
c:\ciss_web\CISS_rc\apps\black_litterman\test_data_CN_bond.py, Python, 0, 80, 0, 0, 0, 50, 85, 215
c:\ciss_web\CISS_rc\apps\black_litterman\test_data_edb.py, Python, 0, 55, 0, 0, 0, 48, 65, 168
