Date : 2020-01-01 11:01:22
Directory : c:\ciss_web
Total : 207 files,  100610 codes, 37004 comments, 28962 blanks, all 166576 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript       |          6 |     53,767 |     24,279 |     12,510 |     90,556 |
| HTML             |         71 |     28,755 |        606 |      8,223 |     37,584 |
| Python           |        125 |     17,713 |     12,117 |      8,205 |     38,035 |
| JSON             |          4 |        374 |          0 |          2 |        376 |
| pip requirements |          1 |          1 |          2 |         22 |         25 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |        207 |    100,610 |     37,004 |     28,962 |    166,576 |
| CISS_rc                                                                                        |        123 |     32,233 |     11,760 |     11,377 |     55,370 |
| CISS_rc\apps                                                                                   |         72 |     24,355 |      8,699 |      8,078 |     41,132 |
| CISS_rc\apps\active_bm                                                                         |         11 |      2,176 |      2,106 |      1,416 |      5,698 |
| CISS_rc\apps\black_litterman                                                                   |          9 |      1,840 |        898 |      1,521 |      4,259 |
| CISS_rc\apps\bond                                                                              |          4 |        337 |        144 |        247 |        728 |
| CISS_rc\apps\industrial_rotation                                                               |          3 |        931 |        523 |        441 |      1,895 |
| CISS_rc\apps\portfolio_simulation                                                              |          4 |        487 |        270 |        246 |      1,003 |
| CISS_rc\apps\rc_data                                                                           |         10 |      1,503 |      1,320 |        664 |      3,487 |
| CISS_rc\apps\rc_data\before                                                                    |          2 |        244 |         72 |         40 |        356 |
| CISS_rc\apps\rc_etf                                                                            |          3 |        368 |        221 |        314 |        903 |
| CISS_rc\apps\rc_etf\etf                                                                        |          1 |        216 |        147 |        166 |        529 |
| CISS_rc\apps\rc_self                                                                           |         12 |     13,111 |        258 |      1,924 |     15,293 |
| CISS_rc\apps\rc_stra                                                                           |          5 |      3,277 |      2,581 |        943 |      6,801 |
| CISS_rc\apps\temp                                                                              |          5 |        186 |        280 |        159 |        625 |
| CISS_rc\apps\topic_space                                                                       |          2 |         18 |          0 |         19 |         37 |
| CISS_rc\apps\trading_risks                                                                     |          2 |         55 |          9 |         53 |        117 |
| CISS_rc\apps\web_spider                                                                        |          1 |         55 |         71 |        109 |        235 |
| CISS_rc\bin                                                                                    |          8 |      1,891 |      1,359 |        756 |      4,006 |
| CISS_rc\config                                                                                 |          6 |        209 |         61 |        160 |        430 |
| CISS_rc\db                                                                                     |         23 |      3,451 |      1,590 |      1,293 |      6,334 |
| CISS_rc\db\db_assets                                                                           |          6 |      1,178 |        603 |        346 |      2,127 |
| CISS_rc\docs                                                                                   |         12 |      2,100 |         45 |      1,018 |      3,163 |
| CISS_rc\docs\modules                                                                           |          2 |        230 |          6 |        119 |        355 |
| CISS_rc\tests                                                                                  |          1 |         12 |          4 |         10 |         26 |
| CISS_rc\tests\data_manage                                                                      |          1 |         12 |          4 |         10 |         26 |
| ciss_exhi                                                                                      |         22 |      1,389 |        504 |        404 |      2,297 |
| ciss_exhi\migrations                                                                           |         13 |        606 |         12 |         74 |        692 |
| ciss_vue                                                                                       |          7 |      5,118 |         20 |        542 |      5,680 |
| ciss_web                                                                                       |          5 |        110 |        126 |         91 |        327 |
| static                                                                                         |         41 |     58,862 |     24,562 |     14,287 |     97,711 |
| static\echarts-4                                                                               |          5 |     53,766 |     24,278 |     12,509 |     90,553 |
| static\templates                                                                               |         35 |      5,095 |        283 |      1,777 |      7,155 |
| static\templates\ciss_exhi                                                                     |         29 |      4,471 |        226 |      1,517 |      6,214 |
| static\templates\ciss_exhi\data                                                                |          4 |      1,385 |         16 |        464 |      1,865 |
| static\templates\ciss_exhi\data\db_wind_wds                                                    |          1 |      1,091 |          8 |        357 |      1,456 |
| static\templates\ciss_exhi\data\knowledge                                                      |          1 |        210 |          2 |         57 |        269 |
| static\templates\ciss_exhi\docs                                                                |         10 |        631 |         10 |        502 |      1,143 |
| static\templates\ciss_exhi\etf                                                                 |          1 |        127 |          9 |         44 |        180 |
| static\templates\ciss_exhi\event                                                               |          1 |         48 |          1 |         26 |         75 |
| static\templates\ciss_exhi\json                                                                |          1 |        186 |          0 |          1 |        187 |
| static\templates\ciss_exhi\portfolio                                                           |          2 |        362 |          7 |        108 |        477 |
| static\templates\ciss_exhi\strategy                                                            |          8 |      1,463 |        120 |        312 |      1,895 |
| static\templates\ciss_exhi\strategy\data                                                       |          1 |          1 |          0 |          0 |          1 |
| static\templates\ciss_exhi\test                                                                |          1 |         29 |          0 |          0 |         29 |
| static\templates\search                                                                        |          1 |         47 |          3 |          9 |         59 |
| static\templates\weights                                                                       |          2 |        236 |         32 |        147 |        415 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                       | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\ciss_web\CISS_rc\README.html                                                                | HTML             |        215 |          2 |         62 |        279 |
| c:\ciss_web\CISS_rc\apps\active_bm\abm_engine.py                                               | Python           |        454 |        121 |        164 |        739 |
| c:\ciss_web\CISS_rc\apps\active_bm\active_bm.py                                                | Python           |        278 |        181 |        112 |        571 |
| c:\ciss_web\CISS_rc\apps\active_bm\test_abm_1port_1period.py                                   | Python           |        147 |        204 |        177 |        528 |
| c:\ciss_web\CISS_rc\apps\active_bm\test_abm_1port_Nperiods.py                                  | Python           |        186 |        215 |        214 |        615 |
| c:\ciss_web\CISS_rc\apps\active_bm\test_abm_Nports_1period.py                                  | Python           |         50 |         38 |         74 |        162 |
| c:\ciss_web\CISS_rc\apps\active_bm\test_abm_weights.py                                         | Python           |         49 |         18 |         15 |         82 |
| c:\ciss_web\CISS_rc\apps\active_bm\test_active_bm.py                                           | Python           |        543 |        238 |        112 |        893 |
| c:\ciss_web\CISS_rc\apps\active_bm\test_industrial_rotation.py                                 | Python           |        249 |        199 |        143 |        591 |
| c:\ciss_web\CISS_rc\apps\active_bm\test_stats.py                                               | Python           |        110 |        843 |        326 |      1,279 |
| c:\ciss_web\CISS_rc\apps\active_bm\test_units.py                                               | Python           |         39 |          9 |         19 |         67 |
| c:\ciss_web\CISS_rc\apps\active_bm\test_ushk.py                                                | Python           |         71 |         40 |         60 |        171 |
| c:\ciss_web\CISS_rc\apps\black_litterman\bl_rc.py                                              | Python           |        216 |        146 |         88 |        450 |
| c:\ciss_web\CISS_rc\apps\black_litterman\data_edb.py                                           | Python           |        194 |        110 |        112 |        416 |
| c:\ciss_web\CISS_rc\apps\black_litterman\log_bl.html                                           | HTML             |        853 |          2 |        748 |      1,603 |
| c:\ciss_web\CISS_rc\apps\black_litterman\test_bl.py                                            | Python           |        252 |        452 |        242 |        946 |
| c:\ciss_web\CISS_rc\apps\black_litterman\test_bl_rc.py                                         | Python           |         57 |         30 |         42 |        129 |
| c:\ciss_web\CISS_rc\apps\black_litterman\test_data.py                                          | Python           |         78 |         41 |         82 |        201 |
