,Name,Name_base,cash-ps_g,code,code_base,delu_eps_g,e_FY1,e_g,earnings_g,equity_g,last_Price,mainProfit_profit_pct,main_product,para_base_perShare,price_base_perShare,price_vs_base,r_g,temp_Score,total_MV,total_shares,w_industry_1,w_industry_2,w_industry_3,w_industry_4
427,联创互联,分众传媒,225.59,300343.SZ,002027.SZ,68.75,0.8956,88.3467,160,258.261,26.2916,84.7607,ZLC-1001 家电专用系列、ZLC-1002热水器专用系列、ZLC-1003管道专用系列、ZLC-1004浇铸系列、ZLC-1005仿木系列、ZLC-1006喷涂系列、ZLC-1007板材系列、ZLC-2000汽车、家具系列、ZLC-SPU聚脲喷涂系列,0.029783838,41.68527646,0.6307167,4.8452,144178.1952,32.89867908,1.2513,可选消费,媒体Ⅱ,媒体Ⅲ,广告
1401,鹿港文化,桐昆股份,-53.262,601599.SH,601233.SH,-14.2857,1.316,93.7296,,-0.0083,12.1975,77.5808,半精纺纱、精纺面料、精纺纱线,0.220284227,7.308015017,1.669057873,4.7011,46861.2011,46.58835125,3.8195,材料,材料Ⅱ,化工,化纤
43,当代东方,万达电影,-2576.7327,000673.SZ,002739.SZ,725.3333,2.3125,2846.2082,2203,18930.0816,17.4561,90.6359,广告制作、会议及展览服务,0.190503258,68.29358609,0.255603798,1134.8895,180000,68.61643788,3.9308,可选消费,媒体Ⅱ,媒体Ⅲ,电影与娱乐
2,当代明诚,万达电影,-692.0354,600136.SH,002739.SZ,20809.0909,1.5569,4314.4374,63168.6,530.6194,31.18,76.0981,道博武汉健坤物业物业出租和管理、磷矿石贸易、学生公寓物管和租赁、影视产品制作销售,0.128257091,110.1902162,0.282965231,270.423,180000,51.141436,1.6402,可选消费,媒体Ⅱ,媒体Ⅲ,电影与娱乐
701,唐德影视,万达电影,-65.48,300426.SZ,002739.SZ,26.6667,1.1167,309.6372,408.04,141.8615,32.7051,92.3052,电视剧作品以及衍生产品、电影作品以及衍生产品,0.091993508,81.02063777,0.403663818,190.0591,180000,52.32816,1.6,可选消费,媒体Ⅱ,媒体Ⅲ,电影与娱乐
22,海翔药业,复星医药,-31.4917,002099.SZ,600196.SH,1400,6.2631,5515.1578,6050.06,10.1766,11.7514,98.3695,海翔药业降糖类药物、海翔药业抗病毒类药物、海翔药业抗生素类药物、海翔药业农药中间体、海翔药业兽药、海翔药业心血管药、海翔药业医药中间体,0.243675737,16.83382205,0.698082703,123.2093,80010.1766,89.28243664,7.5976,医疗保健,制药、生物科技与生命科学,制药,西药
362,中闽能源,桂冠电力,940.0576,600163.SH,600236.SH,86.8687,,92.6653,85,45.3696,7.32,,星光硫酸盐木浆、星光新闻纸、星光纸板、纸箱,0.044097553,2.001060562,3.6580602,-49.4112,76878.89,73.161204,9.9947,公用事业,公用事业Ⅱ,独立电力生产商与能源贸易商Ⅲ,新能源发电业者
212,雏鹰农牧,温氏股份,-26.1265,002477.SZ,300498.SZ,147.6447,3.2265,320.5273,302.2088,59.7738,5.5238,-60.1608,二元种猪、鸡苗、肉鸡（淘汰种鸡）、商品肉猪、商品仔猪、种蛋,0.050871108,8.071754496,0.684336968,100.4386,139773.8,57.7264719,10.4505,日常消费,食品、饮料与烟草,食品,食品加工与肉类
525,珈伟股份,三安光电,103.2,300317.SZ,600703.SH,47.0009,1.498,277.892,175.07,278.5169,13.5758,98.5074,0A便携式充电GBK、0B便携式充电GBK、太阳能草坪灯、太阳能路灯、太阳能庭院灯,0.074869678,12.07759955,1.124047866,77.1756,173152.68,52.08491428,3.8366,信息技术,半导体与半导体生产设备,半导体产品与半导体设备,半导体产品
403,艾格拉斯,游族网络,2462.766,002619.SZ,002174.SZ,75,1.5,821.1704,970,470.5018,7.0575,98.941,PCCP、PCP、RCP、自应力管,0.273503027,21.96887999,0.321249877,31.5632,159468.96,22.58470575,3.2001,信息技术,软件与服务,软件,家庭娱乐软件
1797,三圣股份,海螺水泥,73.2574,002742.SZ,600585.SH,-36.0656,,18.1647,30,73.6636,14.7809,99.0603,减水剂、硫酸、膨胀剂、商品混凝土,0.021954873,13.88888889,1.0642248,10.457,82756.407,21.284496,1.44,材料,材料Ⅱ,建材Ⅲ,建材
441,雅戈尔,万科A,55.0022,600177.SH,000002.SZ,65.9091,37.8579,60.8518,60,15.5353,10.6311,26.2918,雅戈尔衬衫、雅戈尔梭织布、雅戈尔西装、雅戈尔休闲服,0.208985091,24.69348334,0.430522493,16.9783,51054.69,236.7131357,22.2661,房地产,房地产Ⅱ,房地产管理和开发,房地产开发
1967,康恩贝,康美药业,-59.8037,600572.SH,600518.SH,-46.9388,8.2936,28.3571,60,64.533,8.6566,71.2931,康恩贝阿乐欣、康恩贝丹参注射液、康恩贝蜂皇浆冻干粉、康恩贝葛根提取物、康恩贝厚朴提取物、康恩贝咳停片、康恩贝可达灵片、康恩贝清热明目茶、康恩贝乌灵胶囊、康恩贝销售公司、康恩贝银杏叶提取物、康恩贝元邦、前列康普乐安片、三江医药公司、天保康葛根素注射液、天保宁银杏叶片,0.281570406,12.53853464,0.690399656,45.7252,92429.11,144.8959021,16.7382,医疗保健,制药、生物科技与生命科学,制药,中药
