number,f_class_1,f_class_2,f_name,f_detail,f_algorithm,f_cariable,column_type,table_fi_type,table_name_cn,table_name,column_name_CN,column_name
1,A股财务,历史财务,,,,,0,历史财务,中国A股财务指标,AShareFinancialIndicator,Wind代码,WIND_CODE
2,A股财务,历史财务,,,,,0,历史财务,中国A股财务指标,AShareFinancialIndicator,公告日期,ANN_DT
3,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,扣除非经常性损益后的净利润(扣除少数股东损益),S_FA_DEDUCTEDPROFIT
4,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,利息费用,S_STMNOTE_FINEXP
5,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,折旧与摊销,S_STM_IS
6,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,带息债务,S_FA_INTERESTDEBT
7,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,全部投入资本,S_FA_INVESTCAPITAL
8,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,销售费用/营业总收入,S_FA_SALEEXPENSETOGR
9,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,管理费用/营业总收入,S_FA_ADMINEXPENSETOGR
10,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,财务费用/营业总收入,S_FA_FINAEXPENSETOGR
11,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,投入资本回报率,S_FA_ROIC
12,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,年化净资产收益率,S_FA_ROE_YEARLY
13,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,资产负债率,S_FA_DEBTTOASSETS
14,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,非流动资产/总资产,S_FA_NCATOASSETS
15,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.经营活动净收益,S_QFA_OPERATEINCOME
16,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.价值变动净收益,S_QFA_INVESTINCOME
17,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.扣除非经常损益后的净利润,S_QFA_DEDUCTEDPROFIT
18,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.每股收益,S_QFA_EPS
19,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.销售净利率,S_QFA_NETPROFITMARGIN
20,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.销售毛利率,S_QFA_GROSSPROFITMARGIN
21,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.销售期间费用率,S_QFA_EXPENSETOSALES
22,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.净利润／营业总收入,S_QFA_PROFITTOGR
23,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.销售费用／营业总收入,S_QFA_SALEEXPENSETOGR
24,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.管理费用／营业总收入,S_QFA_ADMINEXPENSETOGR
25,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.财务费用／营业总收入,S_QFA_FINAEXPENSETOGR
26,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.资产减值损失／营业总收入,S_QFA_IMPAIRTOGR_TTM
27,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业总成本／营业总收入,S_QFA_GCTOGR
28,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业利润／营业总收入,S_QFA_OPTOGR
29,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.净资产收益率,S_QFA_ROE
30,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.净资产收益率(扣除非经常损益),S_QFA_ROE_DEDUCTED
31,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.总资产净利润,S_QFA_ROA
32,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.经营活动净收益／利润总额,S_QFA_OPERATEINCOMETOEBT
33,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.价值变动净收益／利润总额,S_QFA_INVESTINCOMETOEBT
34,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.扣除非经常损益后的净利润／净利润,S_QFA_DEDUCTEDPROFITTOPROFIT
35,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.销售商品提供劳务收到的现金／营业收入,S_QFA_SALESCASHINTOOR
36,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.经营活动产生的现金流量净额／营业收入,S_QFA_OCFTOSALES
37,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.经营活动产生的现金流量净额／经营活动净收益,S_QFA_OCFTOOR
38,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业总收入同比增长率(%),S_QFA_YOYGR
39,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业总收入环比增长率(%),S_QFA_CGRGR
40,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业收入同比增长率(%),S_QFA_YOYSALES
41,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业收入环比增长率(%),S_QFA_CGRSALES
42,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业利润同比增长率(%),S_QFA_YOYOP
43,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.营业利润环比增长率(%),S_QFA_CGROP
44,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.净利润同比增长率(%),S_QFA_YOYPROFIT
45,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.净利润环比增长率(%),S_QFA_CGRPROFIT
46,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.归属母公司股东的净利润同比增长率(%),S_QFA_YOYNETPROFIT
47,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,单季度.归属母公司股东的净利润环比增长率(%),S_QFA_CGRNETPROFIT
48,A股财务,历史财务,,,,,1,历史财务,中国A股财务指标,AShareFinancialIndicator,加权平均净资产收益率,WAA_ROE
49,A股财务,快报预告,,,,,0,快报预告,中国A股业绩快报,AShareProfitExpress,Wind代码,S_INFO_WINDCODE
50,A股财务,快报预告,,,,,0,快报预告,中国A股业绩快报,AShareProfitExpress,公告日期,ANN_DT
51,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,净利润(元),NET_PROFIT_EXCL_MIN_INT_INC
52,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,净资产收益率(摊薄)(%),ROE_DILUTED
53,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,同比增长率:营业收入,S_FA_YOYSALES
54,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,同比增长率:营业利润,S_FA_YOYOP
55,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,同比增长率:利润总额,S_FA_YOYEBT
56,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,同比增长率:归属母公司股东的净利润,S_FA_YOYNETPROFIT_DEDUCTED
57,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,同比增长率:基本每股收益,S_FA_YOYEPS_BASIC
58,A股财务,快报预告,,,,,1,快报预告,中国A股业绩快报,AShareProfitExpress,同比增减:加权平均净资产收益率,S_FA_ROE_YEARLY
59,A股财务,快报预告,,,,,0,快报预告,中国A股业绩预告,AShareProfitNotice,Wind代码,S_INFO_WINDCODE
60,A股财务,快报预告,,,,,0,快报预告,中国A股业绩预告,AShareProfitNotice,公告日期,S_PROFITNOTICE_DATE
