,class1,class2,class_yrs,name,symbol_full_price,symbol_net_price,symbol_total_return,name_short
1,总指数族,综合类指数,total_value,中债总全价指数,CBA00303.CS,CBA00302.CS,CBA00301.CS,中债总全价
8,总指数族,综合类指数,total_value,中债-新综合全价指数,CBA00103.CS,CBA00102.CS,CBA00101.CS,新综合全价
15,总指数族,综合类指数,total_value,中债-综合全价指数,CBA00203.CS,CBA00202.CS,CBA00201.CS,综合全价
22,总指数族,综合类指数,total_value,中债-地方政府债全价指数,CBA04403.CS,CBA04402.CS,CBA04401.CS,地方政府债全价
29,总指数族,综合类指数,total_value,中债-国债总全价指数,CBA00603.CS,CBA00602.CS,CBA00601.CS,国债总全价
36,总指数族,综合类指数,total_value,中债-金融债券总全价指数,CBA01203.CS,CBA01202.CS,CBA01201.CS,金融债券总全价
43,总指数族,综合类指数,total_value,中债-国债及政策性银行债全价指数,CBA05803.CS,CBA05802.CS,CBA05801.CS,国债及政策性银行债全价
50,总指数族,综合类指数,total_value,中债-信用债总全价指数,CBA02703.CS,CBA02702.CS,CBA02701.CS,信用债总全价
57,总指数族,综合类指数,total_value,中债-企业债总全价指数,CBA02003.CS,CBA02002.CS,CBA02001.CS,企业债总全价
64,总指数族,综合类指数,total_value,中债-公司债总指数全价指数,CBA06103.CS,CBA06102.CS,CBA06101.CS,公司债总全价
71,总指数族,综合类指数,total_value,中债-公司信用类债券全价指数,CBA03003.CS,CBA03002.CS,CBA03001.CS,公司信用类债券全价
78,总指数族,综合类指数,total_value,中债-同业存单总全价指数,CBA07503.CS,CBA07502.CS,CBA07501.CS,同业存单总全价
85,总指数族,综合类指数,total_value,中债-央票总全价指数,CBA01703.CS,CBA01702.CS,CBA01701.CS,央票总全价
92,总指数族,综合类指数,total_value,中债-短融总全价指数,CBA01803.CS,CBA01802.CS,CBA01801.CS,短融总全价
99,总指数族,综合类指数,total_value,中债-中期票据总全价指数,CBA02603.CS,CBA02602.CS,CBA02601.CS,中期票据总全价
106,分类指数,流通场所,total_value,中债-银行间债券总全价指数,CBA00903.CS,CBA00902.CS,CBA00901.CS,银行间债券总全价
113,分类指数,流通场所,total_value,中债-交易所国债全价指数,CBA01003.CS,CBA01002.CS,CBA01001.CS,交易所国债全价
120,分类指数,流通场所,total_value,中债-银行间国债全价指数,CBA01503.CS,CBA01502.CS,CBA01501.CS,银行间国债全价
127,分类指数,信用等级,total_value,中债-高信用等级债券全价指数,CBA01903.CS,CBA01902.CS,CBA01901.CS,高信用等级债券全价
134,分类指数,信用等级,total_value,中债-高信用等级中期票据全价指数,CBA03403.CS,CBA03402.CS,CBA03401.CS,高信用等级中期票据全价
141,分类指数,信用等级,total_value,中债-高收益中期票据全价指数,CBA03703.CS,CBA03702.CS,CBA03701.CS,高收益中期票据全价
