,name,code
1,csi_market,000985.SH
2,A50,000016.SH
3,csi_300,000300.SH
4,csi_500,000905.SH
5,csi_1000,000852.SH
6,房地产指数,882011.WI
7,公用事业指数,882010.WI
8,电信服务指数,882009.WI
9,信息技术指数,882008.WI
10,金融指数,882007.WI
11,医疗保健指数,882006.WI
12,日常消费指数,882005.WI
13,可选消费指数,882004.WI
14,工业指数,882003.WI
15,材料指数,882002.WI
16,能源指数,882001.WI
17,中债-综合全价指数,CBA00203.CS
18,中债-国债总全价指数,CBA00603.CS
19,中债-金融债券总全价指数,CBA01203.CS
20,中债-信用债总全价指数,CBA02703.CS
21,中债-企业债总全价指数,CBA02003.CS
22,中债-同业存单总全价指数,CBA07503.CS
23,中债-央票总全价指数,CBA01703.CS
24,中债-短融总全价指数,CBA01803.CS
25,中债-中期票据总全价指数,CBA02603.CS
