,0
0,000001.SZ
1,000002.SZ
2,000003.SZ
3,000004.SZ
4,000005.SZ
5,000006.SZ
6,000007.SZ
7,000008.SZ
8,000009.SZ
9,000010.SZ
10,000011.SZ
11,000012.SZ
12,000013.SZ
13,000014.SZ
14,000015.SZ
15,000016.SZ
16,000017.SZ
17,000018.SZ
18,000019.SZ
19,000020.SZ
20,000021.SZ
21,000023.SZ
22,000024.SZ
23,000025.SZ
24,000026.SZ
25,000027.SZ
26,000028.SZ
27,000029.SZ
28,000030.SZ
29,000031.SZ
30,000032.SZ
31,000033.SZ
32,000034.SZ
33,000035.SZ
34,000036.SZ
35,000037.SZ
36,000038.SZ
37,000039.SZ
38,000040.SZ
39,000042.SZ
40,000043.SZ
41,000045.SZ
42,000046.SZ
43,000047.SZ
44,000048.SZ
45,000049.SZ
46,000050.SZ
47,000055.SZ
48,000056.SZ
49,000058.SZ
50,000059.SZ
51,000060.SZ
52,000061.SZ
53,000062.SZ
54,000063.SZ
55,000065.SZ
56,000066.SZ
57,000068.SZ
58,000069.SZ
59,000070.SZ
60,000078.SZ
61,000088.SZ
62,000089.SZ
63,000090.SZ
64,000096.SZ
65,000099.SZ
66,000100.SZ
67,000150.SZ
68,000151.SZ
69,000153.SZ
70,000155.SZ
71,000156.SZ
72,000157.SZ
73,000158.SZ
74,000159.SZ
75,000166.SZ
76,000301.SZ
77,000333.SZ
78,000338.SZ
79,000400.SZ
80,000401.SZ
81,000402.SZ
82,000403.SZ
83,000404.SZ
84,000405.SZ
85,000406.SZ
86,000407.SZ
87,000408.SZ
88,000409.SZ
89,000410.SZ
90,000411.SZ
91,000412.SZ
92,000413.SZ
93,000415.SZ
94,000416.SZ
95,000417.SZ
96,000418.SZ
97,000419.SZ
98,000420.SZ
99,000421.SZ
100,000422.SZ
101,000423.SZ
102,000425.SZ
103,000426.SZ
104,000428.SZ
105,000429.SZ
106,000430.SZ
107,000488.SZ
108,000498.SZ
109,000501.SZ
110,000502.SZ
111,000503.SZ
112,000504.SZ
113,000505.SZ
114,000506.SZ
115,000507.SZ
116,000508.SZ
117,000509.SZ
118,000510.SZ
119,000511.SZ
120,000513.SZ
121,000514.SZ
122,000515.SZ
123,000516.SZ
124,000517.SZ
125,000518.SZ
126,000519.SZ
127,000520.SZ
128,000521.SZ
129,000522.SZ
130,000523.SZ
131,000524.SZ
132,000525.SZ
133,000526.SZ
134,000527.SZ
135,000528.SZ
136,000529.SZ
137,000530.SZ
138,000531.SZ
139,000532.SZ
140,000533.SZ
141,000534.SZ
142,000535.SZ
143,000536.SZ
144,000537.SZ
145,000538.SZ
146,000539.SZ
147,000540.SZ
148,000541.SZ
149,000542.SZ
150,000543.SZ
151,000544.SZ
152,000545.SZ
153,000546.SZ
154,000547.SZ
155,000548.SZ
156,000549.SZ
157,000550.SZ
158,000551.SZ
159,000552.SZ
