No.,name_table_CN,name_table,keyword_anndate_CN,keyword_anndate
1,沪深300指数成份股次日开盘权重,AIndexHS300Weight,交易日期,TRADE_DT
2,沪深300免费指数权重,AIndexHS300FreeWeight,交易日期,TRADE_DT
3,中国A股指数日行情,AIndexEODPrices,交易日期,TRADE_DT
4,中国A股指数成份股,AIndexMembers,纳入日期,S_CON_INDATE
5,中国A股Wind行业指数日行情,AIndexWindIndustriesEOD,交易日期,TRADE_DT
6,中国A股公布重要财务指标,AShareANNFinancialIndicator,公告日期,ANN_DT
7,中国A股资产负债表,AShareBalanceSheet,公告日期,ANN_DT
8,中国A股现金流量表,AShareCashFlow,公告日期,ANN_DT
9,中国A股利润表,AShareIncome,公告日期,ANN_DT
10,中国A股财务指标,AShareFinancialIndicator,公告日期,ANN_DT
11,中国A股业绩快报,AShareProfitExpress,公告日期,ANN_DT
12,中国A股业绩预告,AShareProfitNotice,公告日期,S_PROFITNOTICE_DATE
13,中国A股财务费用明细,AShareFinancialExpense,公告日期,ANN_DT
14,中国A股TTM指标历史数据,AShareTTMHis,公告日期,ANN_DT
15,中国A股流通股东,AShareFloatHolder,公告日期,ANN_DT
16,中国A股前十大股东,AShareInsideHolder,公告日期,ANN_DT
17,中国A股回购,AshareStockRepo,公告日期,ANN_DT
18,中国A股配股,AShareRightIssue,公告日期,ANN_DT
19,中国A股自由流通股本,AShareFreeFloat,公告日期,ANN_DT
20,中国A股限售股解禁公司明细,AShareCompRestricted,可流通日期,S_INFO_LISTDATE
21,中国A股股权关系,AShareEquityRelationships,公告日期,ANN_DT
22,中国A股重要股东增减持,AShareMjrHolderTrade,公告日期,ANN_DT
23,中国A股日行情,AShareEODPrices,交易日期,TRADE_DT
24,中国A股日行情估值指标,AShareEODDerivativeIndicator,交易日期,TRADE_DT
25,中国A股资金流向数据,AShareMoneyFlow,交易日期,TRADE_DT
26,中国A股月收益,AShareMonthlyYield,交易日期,TRADE_DT
27,中国A股Level2指标,AShareL2Indicators,交易日期,TRADE_DT
28,中国A股资金流向数据,AShareMoneyFlow,截至日期,TRADE_DT
29,中国A股周收益率,AShareWeeklyYield,截至日期,TRADE_DT
30,中国A股日收益率,AShareYield,日期,TRADE_DT
31,中国A股证券交易异动营业部买卖信息,AShareStrangeTrade,交易截止日,S_STRANGE_ENDDATE
32,中国A股重大事件汇总,AShareMajorEvent,披露日期,S_EVENT_ANNCEDATE
33,中国共同基金净值,ChinaMutualFundNAV,公告日期,ANN_DATE
34,中国共同基金净值表现(报告期),ChinaMutualFundRepNAVPer,公告日期,ANN_DATE
35,中国共同基金投资组合——持股明细,ChinaMutualFundStockPortfolio,公告日期,ANN_DATE
36,中国上市基金日行情,ChinaClosedFundEODPrice,交易日期,TRADE_DT
37,中国A股盈利预测汇总,AShareConsensusData,预测日期,EST_DT
38,中国A股盈利预测明细,AShareEarningEst,公告日期(内部),ANN_DT
39,Wind一致预测指数滚动指标,AIndexConsensusRollingData,日期,EST_DT
40,Wind一致预测个股滚动指标,AShareConsensusRollingData,日期,EST_DT
41,Wind一致预测个股指标,AShareConsensusindex,日期,ANN_DT
42,Wind一致预测指数指标,AIndexConsensusData,预测日期,EST_DT
43,中国上市基金日行情,ChinaClosedFundEODPrice,交易日期,TRADE_DT
44,中国Wind基金仓位估算,ChinaMutualFundPosEstimation,估算日期,F_EST_DATE
45,中国共同基金基金经理业绩表现,ChinaMFMPerformance,日期,TRADE_DATE
46,中国共同基金业绩表现,ChinaMFPerformance,交易日期,TRADE_DT
47,中国共同基金投资组合重大变动(报告期),CFundPortfoliochanges,公告日期,ANN_DT
48,中国A股机构调研活动,AshareISActivity,公告日期,ANN_DT
49,中国A股机构调研问答明细,AShareISQA,提问日期,S_ASKDATE
50,中国A股行业投资评级,AShareIndusRating,评级日期,RATING_DT
51,中国A股指数估值数据,AIndexValuation,交易日期,TRADE_DT
52,中国A股事件日期信息,AShareEventdateinformation,披露日期,DISCLOSURE_DATE
