table,if_needed,type_financial,factor,weight_indicator,name_CN,name,notes,file_prefix,file_sufix
AShareEarningEst,2,定位信息,,,Wind代码,S_INFO_WINDCODE,,WDS_ANN_DT_,_ALL
AShareEarningEst,2,定位信息,,,Wind代码,WIND_CODE,,WDS_ANN_DT_,_ALL
AShareEarningEst,2,定位信息,,,研究机构名称,RESEARCH_INST_NAME,,WDS_ANN_DT_,_ALL
AShareEarningEst,2,定位信息,,,分析师名称,ANALYST_NAME,,WDS_ANN_DT_,_ALL
AShareEarningEst,2,定位信息,,,预测日期,EST_DT,,WDS_ANN_DT_,_ALL
AShareEarningEst,2,定位信息,,,预测报告期,REPORTING_PERIOD,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,收入和利润,成长,,预测每股收益(摊薄)(元),EST_EPS_DILUTED,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,收入和利润,成长,,预测净利润(万元),EST_NET_PROFIT,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,收入和利润,成长,,预测主营业务收入(万元),EST_MAIN_BUS_INC,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,收入和利润,成长,,预测息税前利润(万元),EST_EBIT,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,收入和利润,成长,,预测息税折旧摊销前利润(万元),EST_EBITDA,,WDS_ANN_DT_,_ALL
AShareEarningEst,2,定位信息,,,预测基准股本(万股),EST_BASE_CAP,,WDS_ANN_DT_,_ALL
AShareEarningEst,2,定位信息,,,公告日期(内部),ANN_DT,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,现金流,质量,,预测每股现金流,S_EST_CPS,,WDS_ANN_DT_,_ALL
AShareEarningEst,0,,,,预测每股股利,S_EST_DPS,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,资产和投资收益,价值,,预测每股净资产,S_EST_BPS,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,资产和投资收益,价值,,预测利润总额（万元）,S_EST_EBT,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,资产和投资收益,价值,,预测总资产收益率,S_EST_ROA,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,资产和投资收益,价值,,预测净资产收益率,S_EST_ROE,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,收入和利润,成长,,预测营业利润(万元）,S_EST_OPROFIT,,WDS_ANN_DT_,_ALL
AShareEarningEst,0,,,,预测每股收益(稀释)(元),S_EST_EPSDILUTED,,WDS_ANN_DT_,_ALL
AShareEarningEst,0,,,,预测每股收益(基本)(元),S_EST_EPSBASIC,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,费用管理,质量,,预测营业成本及附加（万元）,S_EST_OC,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,收入和利润,成长,,预测净利润（换算）（万元）,S_EST_NPCAL,,WDS_ANN_DT_,_ALL
AShareEarningEst,0,,,,预测每股收益（换算）,S_EST_EPSCAL,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,收入和利润,成长,,预测净利润调整比率,S_EST_NPRATE,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,收入和利润,成长,,预测EPS调整比率,S_EST_EPSRATE,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,资产和投资收益,价值,,预测市盈率,S_EST_PE,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,资产和投资收益,价值,,预测市净率,S_EST_PB,,WDS_ANN_DT_,_ALL
AShareEarningEst,1,资产和投资收益,价值,,预测EV/EBITDA,S_EST_EVEBITDA,,WDS_ANN_DT_,_ALL
