wind_code,sec_name,ind4_index_code,ind3_index_code,ind2_index_code,ind1_index_code,ind4_code,ind3_code,ind2_code,ind1_code
000001.SZ,平安银行,882493.WI,882241.WI,882115.WI,882007.WI,40101010,401010,4010,40
000002.SZ,万科A,882509.WI,882247.WI,882118.WI,882011.WI,60102030,601020,6010,60
000005.SZ,世纪星源,882432.WI,882214.WI,882103.WI,882003.WI,20201050,202010,2020,20
000006.SZ,深振业A,882509.WI,882247.WI,882118.WI,882011.WI,60102030,601020,6010,60
000007.SZ,全新好,882593.WI,882247.WI,882118.WI,882011.WI,60102020,601020,6010,60
000008.SZ,神州高铁,882427.WI,882212.WI,882102.WI,882003.WI,20106020,201060,2010,20
000009.SZ,中国宝安,882425.WI,882211.WI,882102.WI,882003.WI,20105010,201050,2010,20
000010.SZ,美丽生态,882422.WI,882209.WI,882102.WI,882003.WI,20103010,201030,2010,20
000011.SZ,深物业A,882509.WI,882247.WI,882118.WI,882011.WI,60102030,601020,6010,60
000012.SZ,南玻A,882410.WI,882203.WI,882101.WI,882002.WI,15102010,151020,1510,15
000014.SZ,沙河股份,882509.WI,882247.WI,882118.WI,882011.WI,60102030,601020,6010,60
000016.SZ,深康佳A,882446.WI,882222.WI,882106.WI,882004.WI,25201010,252010,2520,25
000018.SZ,神州长城,882422.WI,882209.WI,882102.WI,882003.WI,20103010,201030,2010,20
000021.SZ,深科技,882518.WI,882252.WI,882120.WI,882008.WI,45202020,452020,4520,45
000022.SZ,深赤湾A,882441.WI,882219.WI,882104.WI,882003.WI,20305030,203050,2030,20
000024.SZ,招商地产(退市),882509.WI,882247.WI,882118.WI,882011.WI,60102030,601020,6010,60
000025.SZ,特力A,882576.WI,882230.WI,882109.WI,882004.WI,25504050,255040,2550,25
000026.SZ,飞亚达A,882453.WI,882224.WI,882106.WI,882004.WI,25203010,252030,2520,25
000027.SZ,深圳能源,882528.WI,882258.WI,882123.WI,882010.WI,55101010,551010,5510,55
000028.SZ,国药一致,882487.WI,882238.WI,882113.WI,882006.WI,35102010,351020,3510,35
000029.SZ,深深房A,882509.WI,882247.WI,882118.WI,882011.WI,60102030,601020,6010,60
000031.SZ,中粮地产,882509.WI,882247.WI,882118.WI,882011.WI,60102030,601020,6010,60
000032.SZ,深桑达A,882521.WI,882253.WI,882120.WI,882008.WI,45203030,452030,4520,45
000034.SZ,神州数码,882521.WI,882253.WI,882120.WI,882008.WI,45203030,452030,4520,45
000035.SZ,中国天楹,882432.WI,882214.WI,882103.WI,882003.WI,20201050,202010,2020,20
000036.SZ,华联控股,882509.WI,882247.WI,882118.WI,882011.WI,60102030,601020,6010,60
000038.SZ,深大通,882460.WI,882226.WI,882108.WI,882004.WI,25401010,254010,2540,25
000039.SZ,中集集团,882427.WI,882212.WI,882102.WI,882003.WI,20106020,201060,2010,20
000040.SZ,东旭蓝天,882601.WI,882266.WI,882123.WI,882010.WI,55105020,551050,5510,55
000042.SZ,中洲控股,882509.WI,882247.WI,882118.WI,882011.WI,60102030,601020,6010,60
000043.SZ,中航善达,882593.WI,882247.WI,882118.WI,882011.WI,60102020,601020,6010,60
000046.SZ,泛海控股,882509.WI,882247.WI,882118.WI,882011.WI,60102030,601020,6010,60
000048.SZ,*ST康达,882480.WI,882233.WI,882111.WI,882005.WI,30202010,302020,3020,30
000049.SZ,德赛电池,882423.WI,882210.WI,882102.WI,882003.WI,20104010,201040,2010,20
000050.SZ,深天马A,882519.WI,882253.WI,882120.WI,882008.WI,45203010,452030,4520,45
000055.SZ,方大集团,882422.WI,882209.WI,882102.WI,882003.WI,20103010,201030,2010,20
000058.SZ,深赛格,882593.WI,882247.WI,882118.WI,882011.WI,60102020,601020,6010,60
000059.SZ,华锦股份,882404.WI,882201.WI,882100.WI,882001.WI,10102030,101020,1010,10
000060.SZ,中金岭南,882414.WI,882205.WI,882101.WI,882002.WI,15104020,151040,1510,15
000061.SZ,农产品,882474.WI,882231.WI,882110.WI,882005.WI,30101020,301010,3010,30
000062.SZ,深圳华强,882521.WI,882253.WI,882120.WI,882008.WI,45203030,452030,4520,45
