,No.,table_name,prime_key,prime_key_value,datetime_range,last_updatee
0,1,a,a,a,20190830,
1,,AIndexEODPrices,full_table,full_table,ALL,
2,,AIndexEODPrices,TRADE_DT,20050105,ALL,
3,,ChinaMutualFundAssetPortfolio,full_table,full_table,ALL,
4,,AIndexHS300FreeWeight,full_table,full_table,ALL,
5,,AIndexHS300Weight,full_table,full_table,ALL,
6,,AIndexEODPrices,S_INFO_WINDCODE,000001.SH,ALL,
7,,AShareANNFinancialIndicator,full_table,full_table,ALL,
8,,AShareFinancialIndicator,full_table,full_table,ALL,
9,,AShareProfitExpress,full_table,full_table,ALL,
10,,AShareProfitNotice,full_table,full_table,ALL,
11,,GlobalMarketTradingTime,full_table,full_table,ALL,
12,,AShareConseption,full_table,full_table,ALL,
13,,AShareDescription,full_table,full_table,ALL,
14,,AShareIndustriesClass,full_table,full_table,ALL,
15,,AShareSTIBEmergingIndustries,full_table,full_table,ALL,
16,,AShareIndustriesClassCITICS,full_table,full_table,ALL,
17,,AShareSWIndustriesClass,full_table,full_table,ALL,20201130
18,,SWIndexMembers,full_table,full_table,ALL,
19,,SHSCMembers,full_table,full_table,ALL,
20,,SZSCMembers,full_table,full_table,ALL,
21,,AIndexDescription,full_table,full_table,ALL,
22,,AShareEquityRelationships,full_table,full_table,ALL,
23,,AShareMjrHolderTrade,full_table,full_table,ALL,
24,,AShareMajorHolderPlanHold,full_table,full_table,ALL,
25,,AShareMonthlyYield,full_table,full_table,ALL,
26,,AShareFinancialExpense,full_table,full_table,ALL,
27,,AShareStrangeTradedetail,full_table,full_table,ALL,
28,,AShareSalesSegment,full_table,full_table,ALL,
29,,ChinaMutualFundDescription,full_table,full_table,ALL,
30,,ChinaClosedFundEODPrice,full_table,full_table,ALL,
31,,ChinaMutualFundSeatTrading,full_table,full_table,ALL,
32,,ChinaMutualFundIndPortfolio,full_table,full_table,ALL,
33,,HKshareEODPrices,full_table,full_table,ALL,
34,,AIndexMembers,full_table,full_table,ALL,
35,,AShareBalanceSheet,full_table,full_table,ALL,
36,,AShareBankIndicator,full_table,full_table,ALL,
37,,AShareCashFlow,full_table,full_table,ALL,
38,,AShareIncome,full_table,full_table,ALL,
39,,AShareFloatHolder,full_table,full_table,ALL,
40,,AShareInsideHolder,full_table,full_table,ALL,
41,,ChinaMutualFundStockPortfolio,full_table,full_table,ALL,
42,,AIndexMembersCITICS2,full_table,full_table,ALL,
43,,AShareYield,full_table,full_table,ALL,
44,,AShareAccountingChange,full_table,full_table,ALL,
45,,AShareAuditDescription,full_table,full_table,ALL,
46,,AShareAuditOpinion,full_table,full_table,ALL,
47,,AShareFinancialderivative,full_table,full_table,ALL,
48,,AShareFinSegmentinfo,full_table,full_table,ALL,
49,,AShareIBrokerIndicator,full_table,full_table,ALL,
50,,AShareInsuranceIndicator,full_table,full_table,ALL,
51,,AShareIssuingDatePredict,full_table,full_table,ALL,
52,,AShareMonthlyReportsofBrokers,full_table,full_table,ALL,
53,,AShareTTMAndMRQ,full_table,full_table,ALL,
54,,AShareTTMHis,full_table,full_table,ALL,
55,,AshareStockRepo,full_table,full_table,ALL,
56,,AShareRightIssue,full_table,full_table,ALL,
57,,AShareFreeFloat,full_table,full_table,ALL,
58,,AShareCompRestricted,full_table,full_table,ALL,
59,,AShareL2Indicators,full_table,full_table,ALL,
60,,AShareMoneyFlow,full_table,full_table,ALL,
61,,AShareWeeklyYield,full_table,full_table,ALL,
62,,AIndexConsensusData,full_table,full_table,ALL,
63,,AShareFinancialIndicator,REPORT_PERIOD,20200331,ALL,
64,,ChinaMutualFundStockPortfolio,F_PRT_ENDDATE,20190930,ALL,
65,,ChinaMutualFundStockPortfolio,F_PRT_ENDDATE,20191231,ALL,
66,,ChinaMutualFundStockPortfolio,F_PRT_ENDDATE,20200331,ALL,
67,,AShareConsensusRollingData,EST_DT,20200526,ALL,
68,,ChinaMutualFundNAV,ANN_DATE,20060403,ALL,
69,,AShareConsensusRollingData,EST_DT,20200612,ALL,
70,,AIndexConsensusData,EST_DT,20200612,ALL,
71,,AIndexConsensusData,20200612,,ALL,
72,,AIndexConsensusData,EST_DT,20200611,ALL,
73,,AIndexConsensusData,EST_DT,20200610,ALL,
74,,AIndexConsensusData,EST_DT,20200605,ALL,
75,,AIndexConsensusData,EST_DT,20200604,ALL,
76,,AIndexConsensusData,EST_DT,20200608,ALL,
77,,AIndexConsensusData,EST_DT,20200609,ALL,
78,,AIndexConsensusRollingData,EST_DT,20200612,ALL,
79,,AIndexConsensusRollingData,EST_DT,2020D0609,ALL,
80,,AShareEODDerivativeIndicator,TRADE_DT,20200615,ALL,
81,,AShareEODDerivativeIndicator,TRADE_DT,20200617,ALL,
82,,AShareEODDerivativeIndicator,TRADE_DT,20200618,ALL,
83,,AShareProfitNotice,S_PROFITNOTICE_DATE,20200713,ALL,
84,,AShareProfitNotice,S_PROFITNOTICE_DATE,20200714,ALL,
85,,AShareProfitNotice,S_PROFITNOTICE_DATE,20200715,ALL,
86,,AShareProfitNotice,S_PROFITNOTICE_DATE,20200716,ALL,
87,,AShareProfitNotice,S_PROFITNOTICE_DATE,20200717,ALL,
88,,ChinaMutualFundStockPortfolio,F_PRT_ENDDATE,20200630,ALL,
89,,AIndexHS300FreeWeight,TRADE_DT,20120830,ALL,
90,,AShareFinancialIndicator,REPORT_PERIOD,20200630,ALL,
91,,AShareEODPrices,20200927,,ALL,
92,,AShareEODPrices,TRADE_DT,20200927,ALL,
93,,AShareEODPrices,TRADE_DT,20201010,ALL,
94,,AShareProfitExpress,REPORT_PERIOD,20200930,ALL,
95,,AShareProfitNotice,S_PROFITNOTICE_PERIOD,20200930,ALL,
96,,ChinaMutualFundStockPortfolio,F_PRT_ENDDATE,20200930,ALL,
97,,AShareEarningEst,ANN_DT,20200121,ALL,
98,,AShareEventdateinformation,DISCLOSURE_DATE,20201026,ALL,
99,,AShareEODPrices,TRADE_DT,20201026,ALL,
100,,AShareEODPrices,TRADE_DT,20201027,ALL,
101,,HKshareEODPrices,TRADE_DT,20201029,ALL,
