quarter,quarter2
2008-03-31,2008-03-31
2008-06-30,2008-06-30
2008-09-30,2008-09-26
2008-12-31,2008-12-31
2009-03-31,2009-03-31
2009-06-30,2009-06-30
2009-09-30,2009-09-30
2009-12-31,2009-12-31
2010-03-31,2010-03-31
2010-06-30,2010-06-30
2010-09-30,2010-09-30
2010-12-31,2010-12-31
2011-03-31,2011-03-31
2011-06-30,2011-06-30
2011-09-30,2011-09-30
2011-12-31,2011-12-30
2012-03-31,2012-03-30
2012-06-30,2012-06-29
2012-09-30,2012-09-28
2012-12-31,2012-12-31
2013-03-31,2013-03-29
2013-06-30,2013-06-28
2013-09-30,2013-09-30
2013-12-31,2013-12-31
2014-03-31,2014-03-31
2014-06-30,2014-06-30
2014-09-30,2014-09-30
2014-12-31,2014-12-31
2015-03-31,2015-03-31
2015-06-30,2015-06-30
2015-09-30,2015-09-30
2015-12-31,2015-12-31
2016-03-31,2016-03-31
2016-06-30,2016-06-30
2016-09-30,2016-09-30
2016-12-31,2016-12-30
2017-03-31,2017-03-31
2017-06-30,2017-06-30
2017-09-30,2017-09-29
2017-12-31,2017-12-29
2018-03-31,2018-03-30
2018-06-30,2018-06-29
2018-09-30,2018-09-28
2018-12-31,2018-12-28
2019-03-31,2019-03-29
2019-06-30,2019-06-28
