SSE,SZSE,NIB,HKE,NASDAQ,NYSE
20070104.0,20070104.0,20070104.0,20070102,20070103,20070103
20070105.0,20070105.0,20070105.0,20070103,20070104,20070104
20070108.0,20070108.0,20070108.0,20070104,20070105,20070105
20070109.0,20070109.0,20070109.0,20070105,20070108,20070108
20070110.0,20070110.0,20070110.0,20070108,20070109,20070109
20070111.0,20070111.0,20070111.0,20070109,20070110,20070110
20070112.0,20070112.0,20070112.0,20070110,20070111,20070111
20070115.0,20070115.0,20070115.0,20070111,20070112,20070112
20070116.0,20070116.0,20070116.0,20070112,20070116,20070116
20070117.0,20070117.0,20070117.0,20070115,20070117,20070117
20070118.0,20070118.0,20070118.0,20070116,20070118,20070118
20070119.0,20070119.0,20070119.0,20070117,20070119,20070119
20070122.0,20070122.0,20070122.0,20070118,20070122,20070122
20070123.0,20070123.0,20070123.0,20070119,20070123,20070123
20070124.0,20070124.0,20070124.0,20070122,20070124,20070124
20070125.0,20070125.0,20070125.0,20070123,20070125,20070125
20070126.0,20070126.0,20070126.0,20070124,20070126,20070126
20070129.0,20070129.0,20070129.0,20070125,20070129,20070129
20070130.0,20070130.0,20070130.0,20070126,20070130,20070130
20070131.0,20070131.0,20070131.0,20070129,20070131,20070131
20070201.0,20070201.0,20070201.0,20070130,20070201,20070201
20070202.0,20070202.0,20070202.0,20070131,20070202,20070202
20070205.0,20070205.0,20070205.0,20070201,20070205,20070205
20070206.0,20070206.0,20070206.0,20070202,20070206,20070206
20070207.0,20070207.0,20070207.0,20070205,20070207,20070207
20070208.0,20070208.0,20070208.0,20070206,20070208,20070208
20070209.0,20070209.0,20070209.0,20070207,20070209,20070209
20070212.0,20070212.0,20070212.0,20070208,20070212,20070212
20070213.0,20070213.0,20070213.0,20070209,20070213,20070213
20070214.0,20070214.0,20070214.0,20070212,20070214,20070214
20070215.0,20070215.0,20070215.0,20070213,20070215,20070215
20070216.0,20070216.0,20070216.0,20070214,20070216,20070216
20070226.0,20070226.0,20070217.0,20070215,20070220,20070220
