SSE,SZSE,INTERBANK_BM,HKEX,NASDAQ,NYSE
2007/1/4,2007/1/4,2007/1/4,2007/1/2,2007/1/3,2007/1/3
2007/1/5,2007/1/5,2007/1/5,2007/1/3,2007/1/4,2007/1/4
2007/1/8,2007/1/8,2007/1/8,2007/1/4,2007/1/5,2007/1/5
2007/1/9,2007/1/9,2007/1/9,2007/1/5,2007/1/8,2007/1/8
2007/1/10,2007/1/10,2007/1/10,2007/1/8,2007/1/9,2007/1/9
2007/1/11,2007/1/11,2007/1/11,2007/1/9,2007/1/10,2007/1/10
2007/1/12,2007/1/12,2007/1/12,2007/1/10,2007/1/11,2007/1/11
2007/1/15,2007/1/15,2007/1/15,2007/1/11,2007/1/12,2007/1/12
2007/1/16,2007/1/16,2007/1/16,2007/1/12,2007/1/16,2007/1/16
2007/1/17,2007/1/17,2007/1/17,2007/1/15,2007/1/17,2007/1/17
2007/1/18,2007/1/18,2007/1/18,2007/1/16,2007/1/18,2007/1/18
2007/1/19,2007/1/19,2007/1/19,2007/1/17,2007/1/19,2007/1/19
2007/1/22,2007/1/22,2007/1/22,2007/1/18,2007/1/22,2007/1/22
2007/1/23,2007/1/23,2007/1/23,2007/1/19,2007/1/23,2007/1/23
2007/1/24,2007/1/24,2007/1/24,2007/1/22,2007/1/24,2007/1/24
2007/1/25,2007/1/25,2007/1/25,2007/1/23,2007/1/25,2007/1/25
2007/1/26,2007/1/26,2007/1/26,2007/1/24,2007/1/26,2007/1/26
2007/1/29,2007/1/29,2007/1/29,2007/1/25,2007/1/29,2007/1/29
2007/1/30,2007/1/30,2007/1/30,2007/1/26,2007/1/30,2007/1/30
2007/1/31,2007/1/31,2007/1/31,2007/1/29,2007/1/31,2007/1/31
2007/2/1,2007/2/1,2007/2/1,2007/1/30,2007/2/1,2007/2/1
2007/2/2,2007/2/2,2007/2/2,2007/1/31,2007/2/2,2007/2/2
2007/2/5,2007/2/5,2007/2/5,2007/2/1,2007/2/5,2007/2/5
2007/2/6,2007/2/6,2007/2/6,2007/2/2,2007/2/6,2007/2/6
2007/2/7,2007/2/7,2007/2/7,2007/2/5,2007/2/7,2007/2/7
2007/2/8,2007/2/8,2007/2/8,2007/2/6,2007/2/8,2007/2/8
2007/2/9,2007/2/9,2007/2/9,2007/2/7,2007/2/9,2007/2/9
2007/2/12,2007/2/12,2007/2/12,2007/2/8,2007/2/12,2007/2/12
2007/2/13,2007/2/13,2007/2/13,2007/2/9,2007/2/13,2007/2/13
2007/2/14,2007/2/14,2007/2/14,2007/2/12,2007/2/14,2007/2/14
2007/2/15,2007/2/15,2007/2/15,2007/2/13,2007/2/15,2007/2/15
2007/2/16,2007/2/16,2007/2/16,2007/2/14,2007/2/16,2007/2/16
2007/2/26,2007/2/26,2007/2/17,2007/2/15,2007/2/20,2007/2/20
2007/2/27,2007/2/27,2007/2/25,2007/2/16,2007/2/21,2007/2/21
2007/2/28,2007/2/28,2007/2/26,2007/2/21,2007/2/22,2007/2/22
2007/3/1,2007/3/1,2007/2/27,2007/2/22,2007/2/23,2007/2/23
2007/3/2,2007/3/2,2007/2/28,2007/2/23,2007/2/26,2007/2/26
2007/3/5,2007/3/5,2007/3/1,2007/2/26,2007/2/27,2007/2/27
2007/3/6,2007/3/6,2007/3/2,2007/2/27,2007/2/28,2007/2/28
2007/3/7,2007/3/7,2007/3/5,2007/2/28,2007/3/1,2007/3/1
2007/3/8,2007/3/8,2007/3/6,2007/3/1,2007/3/2,2007/3/2
2007/3/9,2007/3/9,2007/3/7,2007/3/2,2007/3/5,2007/3/5
2007/3/12,2007/3/12,2007/3/8,2007/3/5,2007/3/6,2007/3/6
2007/3/13,2007/3/13,2007/3/9,2007/3/6,2007/3/7,2007/3/7
2007/3/14,2007/3/14,2007/3/12,2007/3/7,2007/3/8,2007/3/8
2007/3/15,2007/3/15,2007/3/13,2007/3/8,2007/3/9,2007/3/9
2007/3/16,2007/3/16,2007/3/14,2007/3/9,2007/3/12,2007/3/12
2007/3/19,2007/3/19,2007/3/15,2007/3/12,2007/3/13,2007/3/13
2007/3/20,2007/3/20,2007/3/16,2007/3/13,2007/3/14,2007/3/14
2007/3/21,2007/3/21,2007/3/19,2007/3/14,2007/3/15,2007/3/15
2007/3/22,2007/3/22,2007/3/20,2007/3/15,2007/3/16,2007/3/16
2007/3/23,2007/3/23,2007/3/21,2007/3/16,2007/3/19,2007/3/19
2007/3/26,2007/3/26,2007/3/22,2007/3/19,2007/3/20,2007/3/20
2007/3/27,2007/3/27,2007/3/23,2007/3/20,2007/3/21,2007/3/21
2007/3/28,2007/3/28,2007/3/26,2007/3/21,2007/3/22,2007/3/22
2007/3/29,2007/3/29,2007/3/27,2007/3/22,2007/3/23,2007/3/23
2007/3/30,2007/3/30,2007/3/28,2007/3/23,2007/3/26,2007/3/26
2007/4/2,2007/4/2,2007/3/29,2007/3/26,2007/3/27,2007/3/27
2007/4/3,2007/4/3,2007/3/30,2007/3/27,2007/3/28,2007/3/28
2007/4/4,2007/4/4,2007/4/2,2007/3/28,2007/3/29,2007/3/29
2007/4/5,2007/4/5,2007/4/3,2007/3/29,2007/3/30,2007/3/30
2007/4/6,2007/4/6,2007/4/4,2007/3/30,2007/4/2,2007/4/2
2007/4/9,2007/4/9,2007/4/5,2007/4/2,2007/4/3,2007/4/3
2007/4/10,2007/4/10,2007/4/6,2007/4/3,2007/4/4,2007/4/4
2007/4/11,2007/4/11,2007/4/9,2007/4/4,2007/4/5,2007/4/5
2007/4/12,2007/4/12,2007/4/10,2007/4/10,2007/4/9,2007/4/9
2007/4/13,2007/4/13,2007/4/11,2007/4/11,2007/4/10,2007/4/10
2007/4/16,2007/4/16,2007/4/12,2007/4/12,2007/4/11,2007/4/11
2007/4/17,2007/4/17,2007/4/13,2007/4/13,2007/4/12,2007/4/12
2007/4/18,2007/4/18,2007/4/16,2007/4/16,2007/4/13,2007/4/13
2007/4/19,2007/4/19,2007/4/17,2007/4/17,2007/4/16,2007/4/16
2007/4/20,2007/4/20,2007/4/18,2007/4/18,2007/4/17,2007/4/17
2007/4/23,2007/4/23,2007/4/19,2007/4/19,2007/4/18,2007/4/18
2007/4/24,2007/4/24,2007/4/20,2007/4/20,2007/4/19,2007/4/19
2007/4/25,2007/4/25,2007/4/23,2007/4/23,2007/4/20,2007/4/20
2007/4/26,2007/4/26,2007/4/24,2007/4/24,2007/4/23,2007/4/23
2007/4/27,2007/4/27,2007/4/25,2007/4/25,2007/4/24,2007/4/24
2007/4/30,2007/4/30,2007/4/26,2007/4/26,2007/4/25,2007/4/25
2007/5/8,2007/5/8,2007/4/27,2007/4/27,2007/4/26,2007/4/26
2007/5/9,2007/5/9,2007/4/28,2007/4/30,2007/4/27,2007/4/27
2007/5/10,2007/5/10,2007/4/29,2007/5/2,2007/4/30,2007/4/30
2007/5/11,2007/5/11,2007/4/30,2007/5/3,2007/5/1,2007/5/1
2007/5/14,2007/5/14,2007/5/8,2007/5/4,2007/5/2,2007/5/2
2007/5/15,2007/5/15,2007/5/9,2007/5/7,2007/5/3,2007/5/3
2007/5/16,2007/5/16,2007/5/10,2007/5/8,2007/5/4,2007/5/4
2007/5/17,2007/5/17,2007/5/11,2007/5/9,2007/5/7,2007/5/7
2007/5/18,2007/5/18,2007/5/14,2007/5/10,2007/5/8,2007/5/8
2007/5/21,2007/5/21,2007/5/15,2007/5/11,2007/5/9,2007/5/9
2007/5/22,2007/5/22,2007/5/16,2007/5/14,2007/5/10,2007/5/10
2007/5/23,2007/5/23,2007/5/17,2007/5/15,2007/5/11,2007/5/11
2007/5/24,2007/5/24,2007/5/18,2007/5/16,2007/5/14,2007/5/14
2007/5/25,2007/5/25,2007/5/21,2007/5/17,2007/5/15,2007/5/15
2007/5/28,2007/5/28,2007/5/22,2007/5/18,2007/5/16,2007/5/16
2007/5/29,2007/5/29,2007/5/23,2007/5/21,2007/5/17,2007/5/17
2007/5/30,2007/5/30,2007/5/24,2007/5/22,2007/5/18,2007/5/18
2007/5/31,2007/5/31,2007/5/25,2007/5/23,2007/5/21,2007/5/21
2007/6/1,2007/6/1,2007/5/28,2007/5/25,2007/5/22,2007/5/22
2007/6/4,2007/6/4,2007/5/29,2007/5/28,2007/5/23,2007/5/23
2007/6/5,2007/6/5,2007/5/30,2007/5/29,2007/5/24,2007/5/24
2007/6/6,2007/6/6,2007/5/31,2007/5/30,2007/5/25,2007/5/25
2007/6/7,2007/6/7,2007/6/1,2007/5/31,2007/5/29,2007/5/29
2007/6/8,2007/6/8,2007/6/4,2007/6/1,2007/5/30,2007/5/30
2007/6/11,2007/6/11,2007/6/5,2007/6/4,2007/5/31,2007/5/31
2007/6/12,2007/6/12,2007/6/6,2007/6/5,2007/6/1,2007/6/1
2007/6/13,2007/6/13,2007/6/7,2007/6/6,2007/6/4,2007/6/4
2007/6/14,2007/6/14,2007/6/8,2007/6/7,2007/6/5,2007/6/5
2007/6/15,2007/6/15,2007/6/11,2007/6/8,2007/6/6,2007/6/6
2007/6/18,2007/6/18,2007/6/12,2007/6/11,2007/6/7,2007/6/7
2007/6/19,2007/6/19,2007/6/13,2007/6/12,2007/6/8,2007/6/8
2007/6/20,2007/6/20,2007/6/14,2007/6/13,2007/6/11,2007/6/11
2007/6/21,2007/6/21,2007/6/15,2007/6/14,2007/6/12,2007/6/12
2007/6/22,2007/6/22,2007/6/18,2007/6/15,2007/6/13,2007/6/13
2007/6/25,2007/6/25,2007/6/19,2007/6/18,2007/6/14,2007/6/14
2007/6/26,2007/6/26,2007/6/20,2007/6/20,2007/6/15,2007/6/15
2007/6/27,2007/6/27,2007/6/21,2007/6/21,2007/6/18,2007/6/18
2007/6/28,2007/6/28,2007/6/22,2007/6/22,2007/6/19,2007/6/19
2007/6/29,2007/6/29,2007/6/25,2007/6/25,2007/6/20,2007/6/20
2007/7/2,2007/7/2,2007/6/26,2007/6/26,2007/6/21,2007/6/21
2007/7/3,2007/7/3,2007/6/27,2007/6/27,2007/6/22,2007/6/22
2007/7/4,2007/7/4,2007/6/28,2007/6/28,2007/6/25,2007/6/25
2007/7/5,2007/7/5,2007/6/29,2007/6/29,2007/6/26,2007/6/26
2007/7/6,2007/7/6,2007/7/2,2007/7/3,2007/6/27,2007/6/27
2007/7/9,2007/7/9,2007/7/3,2007/7/4,2007/6/28,2007/6/28
2007/7/10,2007/7/10,2007/7/4,2007/7/5,2007/6/29,2007/6/29
2007/7/11,2007/7/11,2007/7/5,2007/7/6,2007/7/2,2007/7/2
2007/7/12,2007/7/12,2007/7/6,2007/7/9,2007/7/3,2007/7/3
2007/7/13,2007/7/13,2007/7/9,2007/7/10,2007/7/5,2007/7/5
2007/7/16,2007/7/16,2007/7/10,2007/7/11,2007/7/6,2007/7/6
2007/7/17,2007/7/17,2007/7/11,2007/7/12,2007/7/9,2007/7/9
2007/7/18,2007/7/18,2007/7/12,2007/7/13,2007/7/10,2007/7/10
2007/7/19,2007/7/19,2007/7/13,2007/7/16,2007/7/11,2007/7/11
2007/7/20,2007/7/20,2007/7/16,2007/7/17,2007/7/12,2007/7/12
2007/7/23,2007/7/23,2007/7/17,2007/7/18,2007/7/13,2007/7/13
2007/7/24,2007/7/24,2007/7/18,2007/7/19,2007/7/16,2007/7/16
2007/7/25,2007/7/25,2007/7/19,2007/7/20,2007/7/17,2007/7/17
2007/7/26,2007/7/26,2007/7/20,2007/7/23,2007/7/18,2007/7/18
2007/7/27,2007/7/27,2007/7/23,2007/7/24,2007/7/19,2007/7/19
2007/7/30,2007/7/30,2007/7/24,2007/7/25,2007/7/20,2007/7/20
2007/7/31,2007/7/31,2007/7/25,2007/7/26,2007/7/23,2007/7/23
2007/8/1,2007/8/1,2007/7/26,2007/7/27,2007/7/24,2007/7/24
2007/8/2,2007/8/2,2007/7/27,2007/7/30,2007/7/25,2007/7/25
2007/8/3,2007/8/3,2007/7/30,2007/7/31,2007/7/26,2007/7/26
2007/8/6,2007/8/6,2007/7/31,2007/8/1,2007/7/27,2007/7/27
2007/8/7,2007/8/7,2007/8/1,2007/8/2,2007/7/30,2007/7/30
2007/8/8,2007/8/8,2007/8/2,2007/8/3,2007/7/31,2007/7/31
2007/8/9,2007/8/9,2007/8/3,2007/8/6,2007/8/1,2007/8/1
2007/8/10,2007/8/10,2007/8/6,2007/8/7,2007/8/2,2007/8/2
2007/8/13,2007/8/13,2007/8/7,2007/8/8,2007/8/3,2007/8/3
2007/8/14,2007/8/14,2007/8/8,2007/8/9,2007/8/6,2007/8/6
2007/8/15,2007/8/15,2007/8/9,2007/8/10,2007/8/7,2007/8/7
2007/8/16,2007/8/16,2007/8/10,2007/8/13,2007/8/8,2007/8/8
2007/8/17,2007/8/17,2007/8/13,2007/8/14,2007/8/9,2007/8/9
2007/8/20,2007/8/20,2007/8/14,2007/8/15,2007/8/10,2007/8/10
2007/8/21,2007/8/21,2007/8/15,2007/8/16,2007/8/13,2007/8/13
2007/8/22,2007/8/22,2007/8/16,2007/8/17,2007/8/14,2007/8/14
2007/8/23,2007/8/23,2007/8/17,2007/8/20,2007/8/15,2007/8/15
2007/8/24,2007/8/24,2007/8/20,2007/8/21,2007/8/16,2007/8/16
2007/8/27,2007/8/27,2007/8/21,2007/8/22,2007/8/17,2007/8/17
2007/8/28,2007/8/28,2007/8/22,2007/8/23,2007/8/20,2007/8/20
2007/8/29,2007/8/29,2007/8/23,2007/8/24,2007/8/21,2007/8/21
2007/8/30,2007/8/30,2007/8/24,2007/8/27,2007/8/22,2007/8/22
2007/8/31,2007/8/31,2007/8/27,2007/8/28,2007/8/23,2007/8/23
2007/9/3,2007/9/3,2007/8/28,2007/8/29,2007/8/24,2007/8/24
2007/9/4,2007/9/4,2007/8/29,2007/8/30,2007/8/27,2007/8/27
2007/9/5,2007/9/5,2007/8/30,2007/8/31,2007/8/28,2007/8/28
