SSE,SZSE,INTERBANK_BM,HKEX,NASDAQ,NYSE
2012-01-06,2012-01-06,2012-01-06,2012-01-06,2012-01-06,2012-01-06
2012-01-13,2012-01-13,2012-01-13,2012-01-13,2012-01-13,2012-01-13
2012-01-20,2012-01-20,2012-01-20,2012-01-20,2012-01-20,2012-01-20
2012-02-03,2012-02-03,2012-01-21,2012-01-27,2012-01-27,2012-01-27
2012-02-10,2012-02-10,2012-02-03,2012-02-03,2012-02-03,2012-02-03
2012-02-17,2012-02-17,2012-02-10,2012-02-10,2012-02-10,2012-02-10
2012-02-24,2012-02-24,2012-02-17,2012-02-17,2012-02-17,2012-02-17
2012-03-02,2012-03-02,2012-02-24,2012-02-24,2012-02-24,2012-02-24
2012-03-09,2012-03-09,2012-03-02,2012-03-02,2012-03-02,2012-03-02
2012-03-16,2012-03-16,2012-03-09,2012-03-09,2012-03-09,2012-03-09
2012-03-23,2012-03-23,2012-03-16,2012-03-16,2012-03-16,2012-03-16
2012-03-30,2012-03-30,2012-03-23,2012-03-23,2012-03-23,2012-03-23
2012-04-06,2012-04-06,2012-03-30,2012-03-30,2012-03-30,2012-03-30
2012-04-13,2012-04-13,2012-04-06,2012-04-05,2012-04-05,2012-04-05
2012-04-20,2012-04-20,2012-04-13,2012-04-13,2012-04-13,2012-04-13
2012-04-27,2012-04-27,2012-04-20,2012-04-20,2012-04-20,2012-04-20
2012-05-04,2012-05-04,2012-04-27,2012-04-27,2012-04-27,2012-04-27
2012-05-11,2012-05-11,2012-05-04,2012-05-04,2012-05-04,2012-05-04
2012-05-18,2012-05-18,2012-05-11,2012-05-11,2012-05-11,2012-05-11
2012-05-25,2012-05-25,2012-05-18,2012-05-18,2012-05-18,2012-05-18
2012-06-01,2012-06-01,2012-05-25,2012-05-25,2012-05-25,2012-05-25
2012-06-08,2012-06-08,2012-06-01,2012-06-01,2012-06-01,2012-06-01
2012-06-15,2012-06-15,2012-06-08,2012-06-08,2012-06-08,2012-06-08
2012-06-21,2012-06-21,2012-06-15,2012-06-15,2012-06-15,2012-06-15
2012-06-29,2012-06-29,2012-06-21,2012-06-22,2012-06-22,2012-06-22
2012-07-06,2012-07-06,2012-06-29,2012-06-29,2012-06-29,2012-06-29
2012-07-13,2012-07-13,2012-07-06,2012-07-06,2012-07-06,2012-07-06
2012-07-20,2012-07-20,2012-07-13,2012-07-13,2012-07-13,2012-07-13
2012-07-27,2012-07-27,2012-07-20,2012-07-20,2012-07-20,2012-07-20
2012-08-03,2012-08-03,2012-07-27,2012-07-27,2012-07-27,2012-07-27
2012-08-10,2012-08-10,2012-08-03,2012-08-03,2012-08-03,2012-08-03
2012-08-17,2012-08-17,2012-08-10,2012-08-10,2012-08-10,2012-08-10
2012-08-24,2012-08-24,2012-08-17,2012-08-17,2012-08-17,2012-08-17
2012-08-31,2012-08-31,2012-08-24,2012-08-24,2012-08-24,2012-08-24
2012-09-07,2012-09-07,2012-08-31,2012-08-31,2012-08-31,2012-08-31
2012-09-14,2012-09-14,2012-09-07,2012-09-07,2012-09-07,2012-09-07
2012-09-21,2012-09-21,2012-09-14,2012-09-14,2012-09-14,2012-09-14
2012-09-28,2012-09-28,2012-09-21,2012-09-21,2012-09-21,2012-09-21
2012-10-12,2012-10-12,2012-09-28,2012-09-28,2012-09-28,2012-09-28
2012-10-19,2012-10-19,2012-09-29,2012-10-05,2012-10-05,2012-10-05
2012-10-26,2012-10-26,2012-10-12,2012-10-12,2012-10-12,2012-10-12
2012-11-02,2012-11-02,2012-10-19,2012-10-19,2012-10-19,2012-10-19
2012-11-09,2012-11-09,2012-10-26,2012-10-26,2012-10-26,2012-10-26
2012-11-16,2012-11-16,2012-11-02,2012-11-02,2012-11-02,2012-11-02
2012-11-23,2012-11-23,2012-11-09,2012-11-09,2012-11-09,2012-11-09
2012-11-30,2012-11-30,2012-11-16,2012-11-16,2012-11-16,2012-11-16
2012-12-07,2012-12-07,2012-11-23,2012-11-23,2012-11-23,2012-11-23
2012-12-14,2012-12-14,2012-11-30,2012-11-30,2012-11-30,2012-11-30
2012-12-21,2012-12-21,2012-12-07,2012-12-07,2012-12-07,2012-12-07
2012-12-28,2012-12-28,2012-12-14,2012-12-14,2012-12-14,2012-12-14
2013-01-04,2013-01-04,2012-12-21,2012-12-21,2012-12-21,2012-12-21
2013-01-11,2013-01-11,2012-12-28,2012-12-28,2012-12-28,2012-12-28
2013-01-18,2013-01-18,2013-01-04,2013-01-04,2013-01-04,2013-01-04
2013-01-25,2013-01-25,2013-01-11,2013-01-11,2013-01-11,2013-01-11
2013-02-01,2013-02-01,2013-01-18,2013-01-18,2013-01-18,2013-01-18
2013-02-08,2013-02-08,2013-01-25,2013-01-25,2013-01-25,2013-01-25
2013-02-22,2013-02-22,2013-02-01,2013-02-01,2013-02-01,2013-02-01
2013-03-01,2013-03-01,2013-02-08,2013-02-08,2013-02-08,2013-02-08
