class1,class2,name,total_value,yrs_0_1,yrs_1_3,yrs_3_5,yrs_5_7,yrs_7_10,yrs_10_more,name_short
总指数族,综合类指数,中债总财富指数,CBA00301.CS,CBA00311.CS,CBA00321.CS,CBA00331.CS,CBA00341.CS,CBA00351.CS,CBA00361.CS,总财富
总指数族,综合类指数,中债总净价指数,CBA00302.CS,CBA00312.CS,CBA00322.CS,CBA00332.CS,CBA00342.CS,CBA00352.CS,CBA00362.CS,总净价
总指数族,综合类指数,中债总全价指数,CBA00303.CS,CBA00313.CS,CBA00323.CS,CBA00333.CS,CBA00343.CS,CBA00353.CS,CBA00363.CS,总全价
总指数族,综合类指数,中债-新综合财富指数,CBA00101.CS,CBA00111.CS,CBA00121.CS,CBA00131.CS,CBA00141.CS,CBA00151.CS,CBA00161.CS,新综合财富
总指数族,综合类指数,中债-新综合净价指数,CBA00102.CS,CBA00112.CS,CBA00122.CS,CBA00132.CS,CBA00142.CS,CBA00152.CS,CBA00162.CS,新综合净价
总指数族,综合类指数,中债-新综合全价指数,CBA00103.CS,CBA00113.CS,CBA00123.CS,CBA00133.CS,CBA00143.CS,CBA00153.CS,CBA00163.CS,新综合全价
总指数族,综合类指数,中债-综合财富指数,CBA00201.CS,CBA00211.CS,CBA00221.CS,CBA00231.CS,CBA00241.CS,CBA00251.CS,CBA00261.CS,综合财富
总指数族,综合类指数,中债-综合净价指数,CBA00202.CS,CBA00212.CS,CBA00222.CS,CBA00232.CS,CBA00242.CS,CBA00252.CS,CBA00262.CS,综合净价
总指数族,综合类指数,中债-综合全价指数,CBA00203.CS,CBA00213.CS,CBA00223.CS,CBA00233.CS,CBA00243.CS,CBA00253.CS,CBA00263.CS,综合全价
总指数族,综合类指数,中债-地方政府债财富指数,CBA04401.CS,CBA04411.CS,CBA04421.CS,CBA04431.CS,CBA04441.CS,CBA04451.CS,CBA04461.CS,地方政府债财富
总指数族,综合类指数,中债-地方政府债净价指数,CBA04402.CS,CBA04412.CS,CBA04422.CS,CBA04432.CS,CBA04442.CS,CBA04452.CS,CBA04462.CS,地方政府债净价
总指数族,综合类指数,中债-地方政府债全价指数,CBA04403.CS,CBA04413.CS,CBA04423.CS,CBA04433.CS,CBA04443.CS,CBA04453.CS,CBA04463.CS,地方政府债全价
总指数族,综合类指数,中债-国债总财富指数,CBA00601.CS,CBA00611.CS,CBA00621.CS,CBA00631.CS,CBA00641.CS,CBA00651.CS,CBA00661.CS,国债总财富
总指数族,综合类指数,中债-国债总净价指数,CBA00602.CS,CBA00612.CS,CBA00622.CS,CBA00632.CS,CBA00642.CS,CBA00652.CS,CBA00662.CS,国债总净价
总指数族,综合类指数,中债-国债总全价指数,CBA00603.CS,CBA00613.CS,CBA00623.CS,CBA00633.CS,CBA00643.CS,CBA00653.CS,CBA00663.CS,国债总全价
总指数族,综合类指数,中债-金融债券总财富指数,CBA01201.CS,CBA01211.CS,CBA01221.CS,CBA01231.CS,CBA01241.CS,CBA01251.CS,CBA01261.CS,金融债券总财富
总指数族,综合类指数,中债-金融债券总净价指数,CBA01202.CS,CBA01212.CS,CBA01222.CS,CBA01232.CS,CBA01242.CS,CBA01252.CS,CBA01262.CS,金融债券总净价
总指数族,综合类指数,中债-金融债券总全价指数,CBA01203.CS,CBA01213.CS,CBA01223.CS,CBA01233.CS,CBA01243.CS,CBA01253.CS,CBA01263.CS,金融债券总全价
总指数族,综合类指数,中债-国债及政策性银行债财富指数,CBA05801.CS,,,,,,,国债及政策性银行债财富
总指数族,综合类指数,中债-国债及政策性银行债净价指数,CBA05802.CS,,,,,,,国债及政策性银行债净价
总指数族,综合类指数,中债-国债及政策性银行债全价指数,CBA05803.CS,,,,,,,国债及政策性银行债全价
总指数族,综合类指数,中债-信用债总财富指数,CBA02701.CS,CBA02711.CS,CBA02721.CS,CBA02731.CS,CBA02741.CS,CBA02751.CS,CBA02761.CS,信用债总财富
总指数族,综合类指数,中债-信用债总净价指数,CBA02702.CS,CBA02712.CS,CBA02722.CS,CBA02732.CS,CBA02742.CS,CBA02752.CS,CBA02762.CS,信用债总净价
总指数族,综合类指数,中债-信用债总全价指数,CBA02703.CS,CBA02713.CS,CBA02723.CS,CBA02733.CS,CBA02743.CS,CBA02753.CS,CBA02763.CS,信用债总全价
总指数族,综合类指数,中债-企业债总财富指数,CBA02001.CS,CBA02011.CS,CBA02021.CS,CBA02031.CS,CBA02041.CS,CBA02051.CS,CBA02061.CS,企业债总财富
总指数族,综合类指数,中债-企业债总净价指数,CBA02002.CS,CBA02012.CS,CBA02022.CS,CBA02032.CS,CBA02042.CS,CBA02052.CS,CBA02062.CS,企业债总净价
总指数族,综合类指数,中债-企业债总全价指数,CBA02003.CS,CBA02013.CS,CBA02023.CS,CBA02033.CS,CBA02043.CS,CBA02053.CS,CBA02063.CS,企业债总全价
总指数族,综合类指数,中债-公司债总指数财富指数,CBA06101.CS,CBA06111.CS,CBA06121.CS,CBA06131.CS,CBA06141.CS,CBA06151.CS,CBA06161.CS,公司债总财富
总指数族,综合类指数,中债-公司债总指数净价指数,CBA06102.CS,CBA06112.CS,CBA06122.CS,CBA06132.CS,CBA06142.CS,CBA06152.CS,CBA06162.CS,公司债总净价
总指数族,综合类指数,中债-公司债总指数全价指数,CBA06103.CS,CBA06113.CS,CBA06123.CS,CBA06133.CS,CBA06143.CS,CBA06153.CS,CBA06163.CS,公司债总全价
总指数族,综合类指数,中债-公司信用类债券财富指数,CBA03001.CS,CBA03011.CS,CBA03021.CS,CBA03031.CS,CBA03041.CS,CBA03051.CS,CBA03061.CS,公司信用类债券财富
总指数族,综合类指数,中债-公司信用类债券净价指数,CBA03002.CS,CBA03012.CS,CBA03022.CS,CBA03032.CS,CBA03042.CS,CBA03052.CS,CBA03062.CS,公司信用类债券净价
总指数族,综合类指数,中债-公司信用类债券全价指数,CBA03003.CS,CBA03013.CS,CBA03023.CS,CBA03033.CS,CBA03043.CS,CBA03053.CS,CBA03063.CS,公司信用类债券全价
总指数族,综合类指数,中债-同业存单总财富指数,CBA07501.CS,,,,,,,同业存单总财富
总指数族,综合类指数,中债-同业存单总净价指数,CBA07502.CS,,,,,,,同业存单总净价
总指数族,综合类指数,中债-同业存单总全价指数,CBA07503.CS,,,,,,,同业存单总全价
总指数族,综合类指数,中债-央票总财富指数,CBA01701.CS,CBA01711.CS,CBA01721.CS,,,,,央票总财富
总指数族,综合类指数,中债-央票总净价指数,CBA01702.CS,CBA01712.CS,CBA01722.CS,,,,,央票总净价
总指数族,综合类指数,中债-央票总全价指数,CBA01703.CS,CBA01713.CS,CBA01723.CS,,,,,央票总全价
总指数族,综合类指数,中债-短融总财富指数,CBA01801.CS,CBA01811.CS,,,,,,短融总财富
总指数族,综合类指数,中债-短融总净价指数,CBA01802.CS,CBA01812.CS,,,,,,短融总净价
总指数族,综合类指数,中债-短融总全价指数,CBA01803.CS,CBA01813.CS,,,,,,短融总全价
总指数族,综合类指数,中债-中期票据总财富指数,CBA02601.CS,CBA02611.CS,CBA02621.CS,CBA02631.CS,CBA02641.CS,CBA02651.CS,CBA02661.CS,中期票据总财富
总指数族,综合类指数,中债-中期票据总净价指数,CBA02602.CS,CBA02612.CS,CBA02622.CS,CBA02632.CS,CBA02642.CS,CBA02652.CS,CBA02662.CS,中期票据总净价
总指数族,综合类指数,中债-中期票据总全价指数,CBA02603.CS,CBA02613.CS,CBA02623.CS,CBA02633.CS,CBA02643.CS,CBA02653.CS,CBA02663.CS,中期票据总全价
分类指数,流通场所,中债-银行间资产支持证券财富指数,CBA05301.CS,CBA05311.CS,CBA05321.CS,CBA05331.CS,CBA05341.CS,CBA05351.CS,CBA05361.CS,银行间资产支持证券财富
分类指数,流通场所,中债-银行间债券总财富指数,CBA00901.CS,CBA00911.CS,CBA00921.CS,CBA00931.CS,CBA00941.CS,CBA00951.CS,CBA00961.CS,银行间债券总财富
分类指数,流通场所,中债-银行间债券总净价指数,CBA00902.CS,CBA00912.CS,CBA00922.CS,CBA00932.CS,CBA00942.CS,CBA00952.CS,CBA00962.CS,银行间债券总净价
