,class1,class2,class_yrs,name,symbol_full_price,symbol_net_price,symbol_total_return,name_short
0,现金工具,现金工具,yrs_0_1,中债-货币市场基金可投资债券指数,CBA02203.CS,CBA02202.CS,CBA02201.CS,货币市场基金可投资债券
1,总指数族,综合类指数,total_value,中债总全价指数,CBA00303.CS,CBA00302.CS,CBA00301.CS,中债总全价
2,总指数族,综合类指数,yrs_0_1,中债总全价指数,CBA00313.CS,CBA00312.CS,CBA00311.CS,中债总全价
3,总指数族,综合类指数,yrs_1_3,中债总全价指数,CBA00323.CS,CBA00322.CS,CBA00321.CS,中债总全价
4,总指数族,综合类指数,yrs_3_5,中债总全价指数,CBA00333.CS,CBA00332.CS,CBA00331.CS,中债总全价
5,总指数族,综合类指数,yrs_5_7,中债总全价指数,CBA00343.CS,CBA00342.CS,CBA00341.CS,中债总全价
6,总指数族,综合类指数,yrs_7_10,中债总全价指数,CBA00353.CS,CBA00352.CS,CBA00351.CS,中债总全价
7,总指数族,综合类指数,yrs_10_more,中债总全价指数,CBA00363.CS,CBA00362.CS,CBA00361.CS,中债总全价
8,总指数族,综合类指数,total_value,中债-新综合全价指数,CBA00103.CS,CBA00102.CS,CBA00101.CS,新综合全价
9,总指数族,综合类指数,yrs_0_1,中债-新综合全价指数,CBA00113.CS,CBA00112.CS,CBA00111.CS,新综合全价
10,总指数族,综合类指数,yrs_1_3,中债-新综合全价指数,CBA00123.CS,CBA00122.CS,CBA00121.CS,新综合全价
11,总指数族,综合类指数,yrs_3_5,中债-新综合全价指数,CBA00133.CS,CBA00132.CS,CBA00131.CS,新综合全价
12,总指数族,综合类指数,yrs_5_7,中债-新综合全价指数,CBA00143.CS,CBA00142.CS,CBA00141.CS,新综合全价
13,总指数族,综合类指数,yrs_7_10,中债-新综合全价指数,CBA00153.CS,CBA00152.CS,CBA00151.CS,新综合全价
14,总指数族,综合类指数,yrs_10_more,中债-新综合全价指数,CBA00163.CS,CBA00162.CS,CBA00161.CS,新综合全价
15,总指数族,综合类指数,total_value,中债-综合全价指数,CBA00203.CS,CBA00202.CS,CBA00201.CS,综合全价
16,总指数族,综合类指数,yrs_0_1,中债-综合全价指数,CBA00213.CS,CBA00212.CS,CBA00211.CS,综合全价
17,总指数族,综合类指数,yrs_1_3,中债-综合全价指数,CBA00223.CS,CBA00222.CS,CBA00221.CS,综合全价
18,总指数族,综合类指数,yrs_3_5,中债-综合全价指数,CBA00233.CS,CBA00232.CS,CBA00231.CS,综合全价
19,总指数族,综合类指数,yrs_5_7,中债-综合全价指数,CBA00243.CS,CBA00242.CS,CBA00241.CS,综合全价
20,总指数族,综合类指数,yrs_7_10,中债-综合全价指数,CBA00253.CS,CBA00252.CS,CBA00251.CS,综合全价
21,总指数族,综合类指数,yrs_10_more,中债-综合全价指数,CBA00263.CS,CBA00262.CS,CBA00261.CS,综合全价
22,总指数族,综合类指数,total_value,中债-地方政府债全价指数,CBA04403.CS,CBA04402.CS,CBA04401.CS,地方政府债全价
23,总指数族,综合类指数,yrs_0_1,中债-地方政府债全价指数,CBA04413.CS,CBA04412.CS,CBA04411.CS,地方政府债全价
24,总指数族,综合类指数,yrs_1_3,中债-地方政府债全价指数,CBA04423.CS,CBA04422.CS,CBA04421.CS,地方政府债全价
25,总指数族,综合类指数,yrs_3_5,中债-地方政府债全价指数,CBA04433.CS,CBA04432.CS,CBA04431.CS,地方政府债全价
26,总指数族,综合类指数,yrs_5_7,中债-地方政府债全价指数,CBA04443.CS,CBA04442.CS,CBA04441.CS,地方政府债全价
27,总指数族,综合类指数,yrs_7_10,中债-地方政府债全价指数,CBA04453.CS,CBA04452.CS,CBA04451.CS,地方政府债全价
28,总指数族,综合类指数,yrs_10_more,中债-地方政府债全价指数,CBA04463.CS,CBA04462.CS,CBA04461.CS,地方政府债全价
29,总指数族,综合类指数,total_value,中债-国债总全价指数,CBA00603.CS,CBA00602.CS,CBA00601.CS,国债总全价
30,总指数族,综合类指数,yrs_0_1,中债-国债总全价指数,CBA00613.CS,CBA00612.CS,CBA00611.CS,国债总全价
31,总指数族,综合类指数,yrs_1_3,中债-国债总全价指数,CBA00623.CS,CBA00622.CS,CBA00621.CS,国债总全价
32,总指数族,综合类指数,yrs_3_5,中债-国债总全价指数,CBA00633.CS,CBA00632.CS,CBA00631.CS,国债总全价
33,总指数族,综合类指数,yrs_5_7,中债-国债总全价指数,CBA00643.CS,CBA00642.CS,CBA00641.CS,国债总全价
34,总指数族,综合类指数,yrs_7_10,中债-国债总全价指数,CBA00653.CS,CBA00652.CS,CBA00651.CS,国债总全价
35,总指数族,综合类指数,yrs_10_more,中债-国债总全价指数,CBA00663.CS,CBA00662.CS,CBA00661.CS,国债总全价
36,总指数族,综合类指数,total_value,中债-金融债券总全价指数,CBA01203.CS,CBA01202.CS,CBA01201.CS,金融债券总全价
37,总指数族,综合类指数,yrs_0_1,中债-金融债券总全价指数,CBA01213.CS,CBA01212.CS,CBA01211.CS,金融债券总全价
38,总指数族,综合类指数,yrs_1_3,中债-金融债券总全价指数,CBA01223.CS,CBA01222.CS,CBA01221.CS,金融债券总全价
39,总指数族,综合类指数,yrs_3_5,中债-金融债券总全价指数,CBA01233.CS,CBA01232.CS,CBA01231.CS,金融债券总全价
40,总指数族,综合类指数,yrs_5_7,中债-金融债券总全价指数,CBA01243.CS,CBA01242.CS,CBA01241.CS,金融债券总全价
41,总指数族,综合类指数,yrs_7_10,中债-金融债券总全价指数,CBA01253.CS,CBA01252.CS,CBA01251.CS,金融债券总全价
42,总指数族,综合类指数,yrs_10_more,中债-金融债券总全价指数,CBA01263.CS,CBA01262.CS,CBA01261.CS,金融债券总全价
43,总指数族,综合类指数,total_value,中债-国债及政策性银行债全价指数,CBA05803.CS,CBA05802.CS,CBA05801.CS,国债及政策性银行债全价
44,总指数族,综合类指数,yrs_0_1,中债-国债及政策性银行债全价指数,,,,国债及政策性银行债全价
45,总指数族,综合类指数,yrs_1_3,中债-国债及政策性银行债全价指数,,,,国债及政策性银行债全价
46,总指数族,综合类指数,yrs_3_5,中债-国债及政策性银行债全价指数,,,,国债及政策性银行债全价
47,总指数族,综合类指数,yrs_5_7,中债-国债及政策性银行债全价指数,,,,国债及政策性银行债全价
48,总指数族,综合类指数,yrs_7_10,中债-国债及政策性银行债全价指数,,,,国债及政策性银行债全价
49,总指数族,综合类指数,yrs_10_more,中债-国债及政策性银行债全价指数,,,,国债及政策性银行债全价
50,总指数族,综合类指数,total_value,中债-信用债总全价指数,CBA02703.CS,CBA02702.CS,CBA02701.CS,信用债总全价
51,总指数族,综合类指数,yrs_0_1,中债-信用债总全价指数,CBA02713.CS,CBA02712.CS,CBA02711.CS,信用债总全价
52,总指数族,综合类指数,yrs_1_3,中债-信用债总全价指数,CBA02723.CS,CBA02722.CS,CBA02721.CS,信用债总全价
53,总指数族,综合类指数,yrs_3_5,中债-信用债总全价指数,CBA02733.CS,CBA02732.CS,CBA02731.CS,信用债总全价
54,总指数族,综合类指数,yrs_5_7,中债-信用债总全价指数,CBA02743.CS,CBA02742.CS,CBA02741.CS,信用债总全价
55,总指数族,综合类指数,yrs_7_10,中债-信用债总全价指数,CBA02753.CS,CBA02752.CS,CBA02751.CS,信用债总全价
56,总指数族,综合类指数,yrs_10_more,中债-信用债总全价指数,CBA02763.CS,CBA02762.CS,CBA02761.CS,信用债总全价
57,总指数族,综合类指数,total_value,中债-企业债总全价指数,CBA02003.CS,CBA02002.CS,CBA02001.CS,企业债总全价
58,总指数族,综合类指数,yrs_0_1,中债-企业债总全价指数,CBA02013.CS,CBA02012.CS,CBA02011.CS,企业债总全价
59,总指数族,综合类指数,yrs_1_3,中债-企业债总全价指数,CBA02023.CS,CBA02022.CS,CBA02021.CS,企业债总全价
60,总指数族,综合类指数,yrs_3_5,中债-企业债总全价指数,CBA02033.CS,CBA02032.CS,CBA02031.CS,企业债总全价
61,总指数族,综合类指数,yrs_5_7,中债-企业债总全价指数,CBA02043.CS,CBA02042.CS,CBA02041.CS,企业债总全价
62,总指数族,综合类指数,yrs_7_10,中债-企业债总全价指数,CBA02053.CS,CBA02052.CS,CBA02051.CS,企业债总全价
63,总指数族,综合类指数,yrs_10_more,中债-企业债总全价指数,CBA02063.CS,CBA02062.CS,CBA02061.CS,企业债总全价
64,总指数族,综合类指数,total_value,中债-公司债总指数全价指数,CBA06103.CS,CBA06102.CS,CBA06101.CS,公司债总全价
65,总指数族,综合类指数,yrs_0_1,中债-公司债总指数全价指数,CBA06113.CS,CBA06112.CS,CBA06111.CS,公司债总全价
66,总指数族,综合类指数,yrs_1_3,中债-公司债总指数全价指数,CBA06123.CS,CBA06122.CS,CBA06121.CS,公司债总全价
67,总指数族,综合类指数,yrs_3_5,中债-公司债总指数全价指数,CBA06133.CS,CBA06132.CS,CBA06131.CS,公司债总全价
68,总指数族,综合类指数,yrs_5_7,中债-公司债总指数全价指数,CBA06143.CS,CBA06142.CS,CBA06141.CS,公司债总全价
69,总指数族,综合类指数,yrs_7_10,中债-公司债总指数全价指数,CBA06153.CS,CBA06152.CS,CBA06151.CS,公司债总全价
70,总指数族,综合类指数,yrs_10_more,中债-公司债总指数全价指数,CBA06163.CS,CBA06162.CS,CBA06161.CS,公司债总全价
71,总指数族,综合类指数,total_value,中债-公司信用类债券全价指数,CBA03003.CS,CBA03002.CS,CBA03001.CS,公司信用类债券全价
72,总指数族,综合类指数,yrs_0_1,中债-公司信用类债券全价指数,CBA03013.CS,CBA03012.CS,CBA03011.CS,公司信用类债券全价
73,总指数族,综合类指数,yrs_1_3,中债-公司信用类债券全价指数,CBA03023.CS,CBA03022.CS,CBA03021.CS,公司信用类债券全价
74,总指数族,综合类指数,yrs_3_5,中债-公司信用类债券全价指数,CBA03033.CS,CBA03032.CS,CBA03031.CS,公司信用类债券全价
75,总指数族,综合类指数,yrs_5_7,中债-公司信用类债券全价指数,CBA03043.CS,CBA03042.CS,CBA03041.CS,公司信用类债券全价
76,总指数族,综合类指数,yrs_7_10,中债-公司信用类债券全价指数,CBA03053.CS,CBA03052.CS,CBA03051.CS,公司信用类债券全价
77,总指数族,综合类指数,yrs_10_more,中债-公司信用类债券全价指数,CBA03063.CS,CBA03062.CS,CBA03061.CS,公司信用类债券全价
78,总指数族,综合类指数,total_value,中债-同业存单总全价指数,CBA07503.CS,CBA07502.CS,CBA07501.CS,同业存单总全价
79,总指数族,综合类指数,yrs_0_1,中债-同业存单总全价指数,,,,同业存单总全价
80,总指数族,综合类指数,yrs_1_3,中债-同业存单总全价指数,,,,同业存单总全价
81,总指数族,综合类指数,yrs_3_5,中债-同业存单总全价指数,,,,同业存单总全价
82,总指数族,综合类指数,yrs_5_7,中债-同业存单总全价指数,,,,同业存单总全价
83,总指数族,综合类指数,yrs_7_10,中债-同业存单总全价指数,,,,同业存单总全价
84,总指数族,综合类指数,yrs_10_more,中债-同业存单总全价指数,,,,同业存单总全价
85,总指数族,综合类指数,total_value,中债-央票总全价指数,CBA01703.CS,CBA01702.CS,CBA01701.CS,央票总全价
86,总指数族,综合类指数,yrs_0_1,中债-央票总全价指数,CBA01713.CS,CBA01712.CS,CBA01711.CS,央票总全价
87,总指数族,综合类指数,yrs_1_3,中债-央票总全价指数,CBA01723.CS,CBA01722.CS,CBA01721.CS,央票总全价
88,总指数族,综合类指数,yrs_3_5,中债-央票总全价指数,,,,央票总全价
89,总指数族,综合类指数,yrs_5_7,中债-央票总全价指数,,,,央票总全价
90,总指数族,综合类指数,yrs_7_10,中债-央票总全价指数,,,,央票总全价
91,总指数族,综合类指数,yrs_10_more,中债-央票总全价指数,,,,央票总全价
92,总指数族,综合类指数,total_value,中债-短融总全价指数,CBA01803.CS,CBA01802.CS,CBA01801.CS,短融总全价
93,总指数族,综合类指数,yrs_0_1,中债-短融总全价指数,CBA01813.CS,CBA01812.CS,CBA01811.CS,短融总全价
94,总指数族,综合类指数,yrs_1_3,中债-短融总全价指数,,,,短融总全价
95,总指数族,综合类指数,yrs_3_5,中债-短融总全价指数,,,,短融总全价
96,总指数族,综合类指数,yrs_5_7,中债-短融总全价指数,,,,短融总全价
97,总指数族,综合类指数,yrs_7_10,中债-短融总全价指数,,,,短融总全价
98,总指数族,综合类指数,yrs_10_more,中债-短融总全价指数,,,,短融总全价
99,总指数族,综合类指数,total_value,中债-中期票据总全价指数,CBA02603.CS,CBA02602.CS,CBA02601.CS,中期票据总全价
100,总指数族,综合类指数,yrs_0_1,中债-中期票据总全价指数,CBA02613.CS,CBA02612.CS,CBA02611.CS,中期票据总全价
101,总指数族,综合类指数,yrs_1_3,中债-中期票据总全价指数,CBA02623.CS,CBA02622.CS,CBA02621.CS,中期票据总全价
102,总指数族,综合类指数,yrs_3_5,中债-中期票据总全价指数,CBA02633.CS,CBA02632.CS,CBA02631.CS,中期票据总全价
103,总指数族,综合类指数,yrs_5_7,中债-中期票据总全价指数,CBA02643.CS,CBA02642.CS,CBA02641.CS,中期票据总全价
104,总指数族,综合类指数,yrs_7_10,中债-中期票据总全价指数,CBA02653.CS,CBA02652.CS,CBA02651.CS,中期票据总全价
105,总指数族,综合类指数,yrs_10_more,中债-中期票据总全价指数,CBA02663.CS,CBA02662.CS,CBA02661.CS,中期票据总全价
106,分类指数,流通场所,total_value,中债-银行间债券总全价指数,CBA00903.CS,CBA00902.CS,CBA00901.CS,银行间债券总全价
107,分类指数,流通场所,yrs_0_1,中债-银行间债券总全价指数,CBA00913.CS,CBA00912.CS,CBA00911.CS,银行间债券总全价
108,分类指数,流通场所,yrs_1_3,中债-银行间债券总全价指数,CBA00923.CS,CBA00922.CS,CBA00921.CS,银行间债券总全价
109,分类指数,流通场所,yrs_3_5,中债-银行间债券总全价指数,CBA00933.CS,CBA00932.CS,CBA00931.CS,银行间债券总全价
110,分类指数,流通场所,yrs_5_7,中债-银行间债券总全价指数,CBA00943.CS,CBA00942.CS,CBA00941.CS,银行间债券总全价
111,分类指数,流通场所,yrs_7_10,中债-银行间债券总全价指数,CBA00953.CS,CBA00952.CS,CBA00951.CS,银行间债券总全价
112,分类指数,流通场所,yrs_10_more,中债-银行间债券总全价指数,CBA00963.CS,CBA00962.CS,CBA00961.CS,银行间债券总全价
113,分类指数,流通场所,total_value,中债-交易所国债全价指数,CBA01003.CS,CBA01002.CS,CBA01001.CS,交易所国债全价
114,分类指数,流通场所,yrs_0_1,中债-交易所国债全价指数,CBA01013.CS,CBA01012.CS,CBA01011.CS,交易所国债全价
115,分类指数,流通场所,yrs_1_3,中债-交易所国债全价指数,CBA01023.CS,CBA01022.CS,CBA01021.CS,交易所国债全价
116,分类指数,流通场所,yrs_3_5,中债-交易所国债全价指数,CBA01033.CS,CBA01032.CS,CBA01031.CS,交易所国债全价
117,分类指数,流通场所,yrs_5_7,中债-交易所国债全价指数,CBA01043.CS,CBA01042.CS,CBA01041.CS,交易所国债全价
118,分类指数,流通场所,yrs_7_10,中债-交易所国债全价指数,CBA01053.CS,CBA01052.CS,CBA01051.CS,交易所国债全价
119,分类指数,流通场所,yrs_10_more,中债-交易所国债全价指数,CBA01063.CS,CBA01062.CS,CBA01061.CS,交易所国债全价
120,分类指数,流通场所,total_value,中债-银行间国债全价指数,CBA01503.CS,CBA01502.CS,CBA01501.CS,银行间国债全价
121,分类指数,流通场所,yrs_0_1,中债-银行间国债全价指数,CBA01513.CS,CBA01512.CS,CBA01511.CS,银行间国债全价
122,分类指数,流通场所,yrs_1_3,中债-银行间国债全价指数,CBA01523.CS,CBA01522.CS,CBA01521.CS,银行间国债全价
123,分类指数,流通场所,yrs_3_5,中债-银行间国债全价指数,CBA01533.CS,CBA01532.CS,CBA01531.CS,银行间国债全价
124,分类指数,流通场所,yrs_5_7,中债-银行间国债全价指数,CBA01543.CS,CBA01542.CS,CBA01541.CS,银行间国债全价
125,分类指数,流通场所,yrs_7_10,中债-银行间国债全价指数,CBA01553.CS,CBA01552.CS,CBA01551.CS,银行间国债全价
126,分类指数,流通场所,yrs_10_more,中债-银行间国债全价指数,CBA01563.CS,CBA01562.CS,CBA01561.CS,银行间国债全价
127,分类指数,信用等级,total_value,中债-高信用等级债券全价指数,CBA01903.CS,CBA01902.CS,CBA01901.CS,高信用等级债券全价
