symbol,name,ind_4_code,ind_3_code,ind_2_code,ind_1_code,ind_1_name,ind_2_name,ind_3_name,ind_4_name
000001.SZ,平安银行,40101010,401010,401,40,金融,银行,商业银行,多元化银行
000002.SZ,万科A,60102030,601020,601,60,房地产,房地产Ⅱ,房地产管理和开发,房地产开发
000004.SZ,国农科技,35202010,352020,352,35,医疗保健,制药、生物科技与生命科学,制药,西药
000005.SZ,世纪星源,20201050,202010,202,20,工业,商业和专业服务,商业服务与用品,环境与设施服务
000006.SZ,深振业A,60102030,601020,601,60,房地产,房地产Ⅱ,房地产管理和开发,房地产开发
000007.SZ,全新好,60102020,601020,601,60,房地产,房地产Ⅱ,房地产管理和开发,房地产经营公司
000008.SZ,神州高铁,20106020,201060,201,20,工业,资本货物,机械,工业机械
000009.SZ,中国宝安,20105010,201050,201,20,工业,资本货物,综合类Ⅲ,综合类行业
000010.SZ,美丽生态,20103010,201030,201,20,工业,资本货物,建筑与工程Ⅲ,建筑与工程
000011.SZ,深物业A,60102030,601020,601,60,房地产,房地产Ⅱ,房地产管理和开发,房地产开发
000012.SZ,南玻A,15102010,151020,151,15,材料,材料Ⅱ,建材Ⅲ,建材
000014.SZ,沙河股份,60102030,601020,601,60,房地产,房地产Ⅱ,房地产管理和开发,房地产开发
000016.SZ,深康佳A,25201010,252010,252,25,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品
000017.SZ,深中华A,25202010,252020,252,25,可选消费,耐用消费品与服装,休闲设备与用品,休闲用品
000018.SZ,神州长城,20103010,201030,201,20,工业,资本货物,建筑与工程Ⅲ,建筑与工程
000019.SZ,深深宝A,30201030,302010,302,30,日常消费,食品、饮料与烟草,饮料,软饮料
000020.SZ,深华发A,25201010,252010,252,25,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品
000021.SZ,深科技,45202020,452020,452,45,信息技术,技术硬件与设备,电脑与外围设备,电脑存储与外围设备
000023.SZ,深天地A,15102010,151020,151,15,材料,材料Ⅱ,建材Ⅲ,建材
